,公司代號,公司名稱,發言日期,發言時間,主旨
0,1102,亞泥,102/01/09,15:45:38,澄清102年1月9日工商時報B4版有關本公司之報導。
1,1102,亞泥,102/03/11,16:55:15,"本公司應美林證券之邀參加於台北舉辦之""Technology & Beyond 2013 Conference"""
2,1102,亞泥,102/03/13,14:22:34,澄清102年3月13日經濟日報C7版有關本公司之報導。
3,1102,亞泥,102/03/22,19:02:30,本公司代子公司亞洲水泥（中國）控股公司 公告從事大陸地區投資事宜
4,1102,亞泥,102/03/22,19:03:27,本公司代子公司亞洲水泥（中國）控股公司 公告從事大陸地區投資事宜
5,1102,亞泥,102/03/22,19:26:14,代本公司之重要子公司亞洲水泥(中國)控股公司公告 102年第一次董事會決議發放股利內容。
6,1102,亞泥,102/03/25,20:34:05,董事會決議股利分派
7,1102,亞泥,102/03/25,20:35:39,公告本公司董事會決議101年度盈餘轉增資發行新股案。
8,1102,亞泥,102/03/25,20:37:09,公告本公司102年度股東常會日期及相關事宜。
9,1102,亞泥,102/03/27,16:19:07,公告102/3/27地震對本公司財務業務並無影響。
10,1102,亞泥,102/04/22,10:42:36,有關中國大陸四川雅安地震，對本公司大陸轉投資之 四川亞東水泥公司並無重大影響。
11,1102,亞泥,102/05/06,18:12:25,代本公司之重要子公司亞洲水泥(中國)控股公司公告 股東會日期及相關事宜。
12,1102,亞泥,102/05/08,08:32:03,公告本公司海外第二次無擔保轉換公司債完成訂價
13,1102,亞泥,102/05/10,18:27:28,補正公告：代子公司公告取得或處分基金之部分內容
14,1102,亞泥,102/05/22,18:07:35,代本公司之重要子公司亞洲水泥中國控股公司 公告2013年股東會決議發放股息內容。
15,1102,亞泥,102/05/30,16:26:54,澄清102年5月30日蘋果日報B5版有關本公司之報導。
16,1102,亞泥,102/06/03,14:58:04,公告102/06/02南投地震對本公司財務及業務並無重大影響。
17,1102,亞泥,102/06/17,18:13:03,代子公司亞洲水泥(中國)控股公司公告新增資金貸與金額達 新台幣一千萬元以上且達本公司最近期財務報表淨值百分之 二以上
18,1102,亞泥,102/06/21,16:33:00,公告本公司102年度股東常會重要決議事項。
19,1102,亞泥,102/06/24,13:46:32,澄清102年6月24日蘋果日報B4版有關本公司之報導。
20,1102,亞泥,102/08/12,20:15:44,代子公司亞洲水泥(中國)控股公司公告重大投資計畫。
21,1102,亞泥,102/08/14,16:53:30,公告本公司董事會決議101年度盈餘分配案 之配息、增資基準日。
22,1102,亞泥,102/08/14,16:57:25,本公司代子公司亞洲水泥（中國）控股公司公告從事 大陸地區投資事宜
23,1102,亞泥,102/08/14,17:01:21,本公司代子公司亞洲水泥（中國）控股公司公告從事 大陸地區投資事宜
24,1102,亞泥,102/08/14,17:04:21,董事會通過將東聯化學發放之法人董事酬勞金贈與 財團法人元智大學。
25,1102,亞泥,102/08/22,10:23:00,公告潭美颱風對本公司財務及業務並無重大影響。
26,1102,亞泥,102/09/02,14:26:42,公告本公司參與高盛證券法人說明會日期及相關財務業務資訊
27,1102,亞泥,102/09/12,17:14:50,澄清102年9月12日經濟日報C7版有關本公司之報導。
28,1102,亞泥,102/10/16,15:09:15,本公司會計主管及內部稽核主管異動通知。
29,1102,亞泥,102/10/17,11:21:44,澄清102年10月17日工商時報B5版有關本公司之報導。
30,1102,亞泥,102/11/04,18:10:48,本公司會計主管及內部稽核主管異動通知。
31,1102,亞泥,102/11/15,10:39:38,澄清102年11月15日蘋果日報B8版有關本公司之報導。
32,1102,亞泥,102/12/15,22:54:08,公告擬認購中國海螺創業控股有限公司初次上市公開承銷之股權
