,公司代號,公司名稱,發言日期,發言時間,主旨
0,1103,嘉泥,104/02/10,08:54:24,臺灣港務股份有限公司因不服臺灣基隆地方法院第一審民事 判決對本公司提起上訴事
1,1103,嘉泥,104/03/16,16:47:32,代重要子公司Yonica Pte Ltd公告召開股東常會相關事宜
2,1103,嘉泥,104/03/16,16:48:42,代子公司Sung Ju Marine Corp.公告董事會重大決議事項
3,1103,嘉泥,104/03/18,17:20:28,代重要子公司Chia Hsin Pacific Limited公告召開 股東常會相關事宜
4,1103,嘉泥,104/03/25,16:52:00,公告本公司總經理變動事宜
5,1103,嘉泥,104/03/25,16:52:34,公告本公司聘任執行副總經理事宜
6,1103,嘉泥,104/03/25,16:52:50,公告本公司聘任執行長事宜
7,1103,嘉泥,104/03/25,16:53:07,公告本公司擬解除董事王立心競業禁止之限制
8,1103,嘉泥,104/03/25,16:53:29,公告本公司董事會解除經理人祁士鉅、王立心競業禁止限制
9,1103,嘉泥,104/03/25,16:53:53,公告本公司董事會決議召開104年度股東常會相關事宜
10,1103,嘉泥,104/03/30,17:45:41,代重要子公司江蘇聯合水泥公告總經理變動事宜
11,1103,嘉泥,104/04/08,15:05:01,代重要子公司Yonica Pte Ltd公告股東常會重要決議事項
12,1103,嘉泥,104/04/08,15:05:31,代重要子公司Chia Hsin Pacific Ltd公告股東常會重要決議事項
13,1103,嘉泥,104/04/24,15:41:44,代重要子公司Yonica Pte Ltd公告董事會重要決議事項
14,1103,嘉泥,104/04/27,17:09:13,代重要子公司Chia Hsin Pacific Limited公告董事變動
15,1103,嘉泥,104/04/27,17:09:41,代子公司Chia Hsin Pacific Limited公告董事會決議 召開特別股東會
16,1103,嘉泥,104/04/27,17:52:05,代重要子公司Chia Hsin Pacific Limited公告總經理變動
17,1103,嘉泥,104/05/04,15:59:13,代重要子公司Chia Hsin Pacific Limited公告特別股東會 重要決議事項
18,1103,嘉泥,104/05/04,15:59:37,代重要子公司Chia Hsin Pacific Limited公告董事變動
19,1103,嘉泥,104/05/04,16:00:06,代重要子公司Chia Hsin Pacific Limited公告董事會 推舉王立心女士續任董事長
20,1103,嘉泥,104/05/04,16:00:31,代重要子公司Chia Hsin Pacific Limited公告董事會 推舉Howard Wei-Hao Pan擔任總經理
21,1103,嘉泥,104/05/06,17:19:34,代子公司嘉新資產管理開發股份有限公司公告董事會 重大決議
22,1103,嘉泥,104/05/06,17:26:42,董事會決議股利分派
23,1103,嘉泥,104/06/04,17:35:48,代子公司嘉新資產管理開發股份有限公司公告董事會 重大決議
24,1103,嘉泥,104/06/08,14:59:58,代子公司Chia Hsin Pacific Limited 公告取得台泥國際集團有限公司(TCCIH)股權
25,1103,嘉泥,104/06/12,17:13:00,代子公司嘉新資產管理開發股份有限公司公告 出售台中市大肚區不動產事宜
26,1103,嘉泥,104/06/18,15:43:55,公告本公司104年股東常會重要決議事項
27,1103,嘉泥,104/06/18,15:44:14,公告本公司104年股東常會解除董事競業禁止之限制
28,1103,嘉泥,104/08/12,15:58:39,公告本公司董事會決議103年度現金股利除息基準日
29,1103,嘉泥,104/08/28,11:48:55,公告本公司董事會決議買回本公司股份(第七次買回)
30,1103,嘉泥,104/09/02,16:13:32,應主管機關要求更正本公司買回公司股份事宜（更正預定買回期間 之結束日期）
31,1103,嘉泥,104/09/07,16:06:21,代子公司嘉新國際股份有限公司公告 董事會重要決議
32,1103,嘉泥,104/09/09,16:03:57,公告本公司調整現金股利配息率
33,1103,嘉泥,104/10/01,18:23:04,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達該公開發行公司最近期財務報表淨值百分之五以上
34,1103,嘉泥,104/10/23,16:58:22,公告本公司累積處分有價證券達三億元公告標準
35,1103,嘉泥,104/10/27,17:21:00,公告本公司第七次買回庫藏股期間屆滿及執行狀況
36,1103,嘉泥,104/10/27,17:23:04,公告本公司累積處分有價證券達三億元公告標準
37,1103,嘉泥,104/11/10,17:46:26,代子公司嘉泥建設開發股份有限公司公告董事會決議
38,1103,嘉泥,104/11/11,17:22:06,代子公司嘉新資產管理開發股份有限公司公告新增背書保證金額 達新臺幣三千萬元以上且達該公開發行公司最近期財務報表 淨值百分之五以上
39,1103,嘉泥,104/11/11,17:22:10,公告本公司第388次董事會重要決議
40,1103,嘉泥,104/11/11,17:22:31,代子公司嘉新資產管理開發股份有限公司公告董事會決議
41,1103,嘉泥,104/11/11,17:22:34,本公司依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第三款規定公告
42,1103,嘉泥,104/11/16,17:12:52,公告本公司累積處分有價證券達三億元公告標準
43,1103,嘉泥,104/12/30,16:13:28,本公司與嘉新國際股份有限公司續訂基隆港儲運中心委託 管理合約
44,1103,嘉泥,104/12/30,16:13:57,本公司與嘉新國際股份有限公司續訂台中港水泥倉儲 服務合約
45,1103,嘉泥,104/12/30,16:14:27,公告本公司董事會決議通過訂定減資(註銷庫藏股)基準日
