,公司代號,公司名稱,發言日期,發言時間,主旨
0,1104,環泥,105/01/28,16:45:57,公告本公司法人董事名稱更名
1,1104,環泥,105/01/28,16:46:35,公告本公司法人董事名稱更名
2,1104,環泥,105/03/29,16:20:49,董事會決議股利分派
3,1104,環泥,105/03/29,16:30:19,公告本公司董事會通過重要事項
4,1104,環泥,105/03/29,17:17:14,公告本公司董事會決議召開105年股東常會相關事宜
5,1104,環泥,105/03/29,17:58:11,本公司董事會決議增資發行新股
6,1104,環泥,105/03/29,17:58:45,公告本公司董事會決議通過發放104年度員工酬勞及董監事酬勞
7,1104,環泥,105/05/12,16:16:46,公告本公司董事會通過重要事項
8,1104,環泥,105/06/13,15:01:42,公告本公司發言人及代理發言人異動事宜
9,1104,環泥,105/06/22,14:56:31,公告本公司股東常會通過重要事項
10,1104,環泥,105/06/22,14:57:00,公告本公司董事會通過重要事項
11,1104,環泥,105/07/06,14:06:14,公告本公司訂定除權除息基準日相關事宜
12,1104,環泥,105/08/04,11:07:51,澄清工商時報報導內容
13,1104,環泥,105/08/12,16:22:27,公告本公司董事會通過重要事項
14,1104,環泥,105/08/31,14:20:59,本公司受統一證券邀請參加「2016年第三季投資展望說明會」，說明本公司上半年度營運狀況
15,1104,環泥,105/11/09,15:50:25,公告本公司董事會通過重要事項
16,1104,環泥,105/11/15,09:56:14,澄清工商時報及經濟日報報導內容
17,1104,環泥,105/12/07,13:20:51,"本公司受邀參加由宏遠證券公司所舉辦""2017年內需產業投資論壇"""
