,公司代號,公司名稱,發言日期,發言時間,主旨
0,1109,信大,107/01/08,13:43:01,代子公司SOARING POWER CORPORATION 公告新增資金貸與金額達 「公開發行公司資金貸與及背書保證處理準則」第22條第1項第3款 之規定。
1,1109,信大,107/03/30,17:34:28,代子公司江蘇信寧新型建材有限公司公告其董事會決議 發放現金股利
2,1109,信大,107/03/30,17:34:55,公告本公司107.03.30董事會決議召開107年股東常會事宜。
3,1109,信大,107/03/30,17:35:13,董事會決議股利分派
4,1109,信大,107/05/09,17:00:14,公告董事會決議辦理現金減資
5,1109,信大,107/05/09,17:00:53,公告本公司董事會決議召開107年股東常會事宜。 (新增討論事項)
6,1109,信大,107/06/21,16:33:44,公告本公司107年股東會重要決議事項
7,1109,信大,107/06/21,16:34:08,公告本公司107年股東常會改選董事
8,1109,信大,107/06/21,16:34:35,本公司臨時董事會推選通過董事長續任事宜
9,1109,信大,107/06/21,16:35:05,公告本公司第三屆薪資報酬委員任期屆滿。
10,1109,信大,107/06/21,16:35:26,公告本公司成立審計委員會
11,1109,信大,107/06/21,16:35:55,代子公司江蘇信寧新型建材有限公司公告其現金股利發放 基準日
12,1109,信大,107/06/21,16:36:08,107年股東會決議許可董事從事競業行為情形
13,1109,信大,107/06/29,13:45:53,代子公司翔力股份有限公司公告其現金股利發放基準日
14,1109,信大,107/06/29,13:46:11,代子公司翔力股份有限公司公告其董事會決議發放現金股利
15,1109,信大,107/07/02,16:33:43,公告本公司董事會決議委任薪酬委員會委員
16,1109,信大,107/07/02,16:34:02,公告本公司107.07.02董事會決議發放106年度現金股利事宜
17,1109,信大,107/07/06,15:48:44,更正公告本公司107年股東常會改選董事 (董事變動達三分之一)
18,1109,信大,107/07/12,17:06:52,公告本公司財務主管異動
19,1109,信大,107/08/13,15:17:13,本公司董事會授權董事長辦理107年現金減資相關事宜
20,1109,信大,107/08/21,16:19:02,本公司訂定107年現金減資基準日公告
21,1109,信大,107/08/31,14:26:15,公告本公司執行副總經理異動
22,1109,信大,107/09/05,16:40:01,公告本公司辦理現金減資完成資本額變更登記
23,1109,信大,107/09/10,16:13:03,公告本公司董事長訂定減資換發股票基準日暨換發股票作業 計畫等相關事宜
24,1109,信大,107/09/14,17:02:37,代重要子公司江蘇信寧新型建材有限公司公告股東會 重要決議事項
25,1109,信大,107/09/28,14:04:05,公告本公司召開法人說明會相關資訊
26,1109,信大,107/11/14,16:12:41,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 第三款及第四款申報事項
