,公司代號,公司名稱,發言日期,發言時間,主旨
0,1110,東泥,102/03/25,17:24:03,公告本公司一百零一年度適用財務會計準則第三十五號公 報資產減損之情形
1,1110,東泥,102/03/25,17:25:47,董事會決議召開102年股東常會相關事宜
2,1110,東泥,102/03/25,17:35:12,董事會決議股利分派
3,1110,東泥,102/05/13,18:17:41,為新增1%股東提案本公司董事會決議更正102年股東常會相關事宜
4,1110,東泥,102/05/13,18:18:33,董事會決議同意解除經理人之競業禁止限制案。
5,1110,東泥,102/06/07,16:31:55,澄清102/06/07媒體報導
6,1110,東泥,102/06/24,16:40:17,102年股東常會重要決議事項
7,1110,東泥,102/07/03,15:54:17,公告本公司法人監察人及其代表人辭職
8,1110,東泥,102/07/04,17:52:25,公告本公司除息基準日
9,1110,東泥,102/07/04,17:55:16,董事會決議召開102年股東臨時會相關事宜
10,1110,東泥,102/07/19,13:26:03,101年度年報修正公告
11,1110,東泥,102/08/16,14:10:28,公告本公司法人董事改派代表人
12,1110,東泥,102/08/22,16:00:27,102年股東臨時會重要決議事項
13,1110,東泥,102/08/22,16:01:42,公告本公司102年股東臨時會補選監察人
14,1110,東泥,102/11/20,14:19:20,本公司法人監察人指派代表人
