,公司代號,公司名稱,發言日期,發言時間,主旨
0,1203,味王,103/03/19,14:51:33,公告本公司薪資報酬委員異動
1,1203,味王,103/03/26,15:15:49,公告本公司董事會決議一○三年股東常會召開事宜
2,1203,味王,103/03/26,15:23:40,公告本公司補行委任第2屆「薪資報酬委員會」委員
3,1203,味王,103/03/26,15:25:28,代重要子公司台味股份有限公司公告 董事會決議一○三年股東常會召開事宜
4,1203,味王,103/03/26,15:27:24,代重要子公司台味股份有限公司公告董事會 決議102年度發放股利事宜
5,1203,味王,103/03/26,15:33:14,董事會決議股利分派
6,1203,味王,103/03/26,15:55:25,更正本公司102年12月-103年2月份背書保證公告資訊
7,1203,味王,103/03/31,16:30:02,代重要子公司泰國味王有限公司公告董事會決議 2014年股東常會召開事宜
8,1203,味王,103/03/31,16:31:59,代重要子公司泰國味王有限公司公告董事會 決議2013年度發放股利事宜
9,1203,味王,103/04/29,09:02:48,代重要子公司泰國味王有限公司公告 48/2014次股東常會重要決議事項。
10,1203,味王,103/04/29,09:13:54,代重要子公司泰國味王有限公司公告 第48/2014屆董事當選名單
11,1203,味王,103/04/29,09:14:24,代重要子公司泰國味王有限公司 公告西元2013年度發放現金股利暨配息基準日
12,1203,味王,103/05/14,11:15:07,代子公司越南責任有限公司公告103/5/13 越南國平陽省反中暴動對本公司財務及營運並無影響
13,1203,味王,103/05/14,15:03:16,更正代子公司西貢味王責任有限公司公告 103/5/13越南國平陽省反中暴動對財務及營運 並無影響之重大訊息中有關主旨及說明二之子公司名稱。
14,1203,味王,103/06/26,15:18:55,公告本公司一○三年股東常會重要決議事項
15,1203,味王,103/06/26,15:20:10,代重要子公司台味股份有限公司公告 一○三年股東常會重要決議事項
16,1203,味王,103/08/13,13:36:09,公告本公司董事會決議訂定一○二年度發放現金股利 暨配息基準日
17,1203,味王,103/08/13,13:38:05,代重要子公司台味股份有限公司公告董事會決議 一○二年度現金股利發放日期
18,1203,味王,103/09/05,14:28:23,公告本公司產品回收事宜及對本公司財務業務之影響。
19,1203,味王,103/09/05,17:18:26,補充公告本公司產品回收可能損失金額及對財務業務 無重大影響事。
20,1203,味王,103/10/11,18:22:25,公告油品事件本公司產品回收可能損失金額 及對財務業務無重大影響事。
21,1203,味王,103/11/19,09:13:06,更正本公司103年9月及1-9月、1-10月份合併營業額公告
22,1203,味王,103/11/20,13:37:04,更正本公司103年第三季財務報告附註揭露
