,公司代號,公司名稱,發言日期,發言時間,主旨
0,1210,大成,105/02/07,10:24:45,大成長城公司捐款一千萬台幣作為南台灣大地震之震災救助基金
1,1210,大成,105/03/30,08:03:31,代重要子公司DaChan Food(Asia) Limited公告董事會決議 105年股東常會召開日期等相關訊息
2,1210,大成,105/03/30,08:04:11,代重要子公司DaChan Food(Asia) Limited 公告變更CEO
3,1210,大成,105/03/30,15:50:12,董事會決議召開105年度股東常會相關事宜
4,1210,大成,105/03/30,15:50:46,公告本公司提報董事會104年度經會計師查核之合併財務報告。
5,1210,大成,105/03/30,15:52:04,公告本公司因會計師事務所內部調整更換會計師
6,1210,大成,105/03/30,15:54:01,本公司公告新增資金貸與他人金額達新臺幣一千萬元以上且達最 近期財務報表淨值百分之二以上。
7,1210,大成,105/04/29,14:40:27,董事會決議股利分派
8,1210,大成,105/04/29,15:08:17,本公司公告新增資金貸與他人金額達新臺幣一千萬元以上且達最 近期財務報表淨值百分之二以上。
9,1210,大成,105/04/29,16:00:18,公告本公司提報董事會105年第1季經會計師核閱之合併財務報告。
10,1210,大成,105/06/13,14:44:17,更正本公司105年5月資金貸與金額
11,1210,大成,105/06/24,15:18:10,本公司105年股東常會決議事項
12,1210,大成,105/06/24,15:24:53,本公司105年股東會全面改選董事(含獨董)當選名單公告
13,1210,大成,105/06/24,15:25:20,公告本公司設立審計委員會
14,1210,大成,105/06/24,15:34:45,公告本公司股東會通過解除董事、獨立董事競業禁止之限制案
15,1210,大成,105/06/24,15:35:13,本公司董事長及副董事長續任
16,1210,大成,105/06/24,15:35:46,公告本公司薪酬委員會委員任期屆滿改選
17,1210,大成,105/06/27,07:48:12,代重要子公司大成食品亞洲有限公司公告2015年股東常會事項
18,1210,大成,105/06/27,07:48:38,代重要子公司大成食品亞洲有限公司公告改選董事
19,1210,大成,105/08/10,16:27:10,公告本公司董事會決議股利配發基準日
20,1210,大成,105/08/10,16:27:38,公告本公司提報董事會105年第2季經會計師核閱之合併財務報告。
21,1210,大成,105/11/10,16:07:14,公告本公司提報董事會105年第3季經會計師核閱之合併財務報告。
22,1210,大成,105/11/16,11:43:31,更正本公司105年第3季IFRS合併資產負債表科目 應付票據 及應付票據-關係人數值
23,1210,大成,105/11/17,09:21:56,針對11/17工商時報B4版報導之聲明
