,公司代號,公司名稱,發言日期,發言時間,主旨
0,1213,大飲,101/01/05,14:15:37,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第一款公告
1,1213,大飲,101/01/05,14:42:41,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款公告
2,1213,大飲,101/01/17,15:16:06,公告本公司第十二屆第十六次董事會決議事項
3,1213,大飲,101/01/17,15:22:46,公告董事會決議召開民國101年股東常會
4,1213,大飲,101/02/06,15:46:30,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款公告
5,1213,大飲,101/03/05,11:27:55,自然人董事解任
6,1213,大飲,101/03/07,14:50:00,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款公告
7,1213,大飲,101/03/07,15:00:57,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第一款公告
8,1213,大飲,101/03/23,14:07:17,公告本公司第十二屆第十七次董事會決議事項
9,1213,大飲,101/03/23,14:10:09,本公司董事會決議盈餘分派案
10,1213,大飲,101/03/23,14:12:56,公告本公司經董事會通過辦理土地重估增值
11,1213,大飲,101/03/23,16:35:59,補充說明本公司第十二屆第十七次董事會決議事項 7.其他應敘明事項(5)(6)
12,1213,大飲,101/04/26,14:19:04,公告本公司第十二屆第十八次董事會決議事項
13,1213,大飲,101/05/03,13:23:57,法人董事之代表人變動
14,1213,大飲,101/05/03,14:41:03,本公司101年度股東常會董事、監察人選舉名單公告。
15,1213,大飲,101/05/03,14:50:19,股東會決議解除董事競業禁止之限制
16,1213,大飲,101/05/03,15:31:13,本公司101年度股東常會重大決議事項
17,1213,大飲,101/06/13,11:14:59,公告豪大雨成災對本公司財務、業務無重大影響
18,1213,大飲,101/06/29,11:24:47,公告本公司第十三屆第一次董事會決議事項
19,1213,大飲,101/06/29,11:28:15,新推選董事長
20,1213,大飲,101/07/24,10:36:17,更正本公司100年度年報部分資料
21,1213,大飲,101/08/28,11:32:43,公告本公司第十三屆第二次董事會決議事項
22,1213,大飲,101/08/28,11:40:26,公告本公司101年上半年度財務報表依財務會計準則公報評估認列 資產減損損失
23,1213,大飲,101/09/03,10:36:43,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第三款公告
24,1213,大飲,101/11/22,11:57:31,公告本公司第十三屆第三次董事會決議事項
25,1213,大飲,101/11/30,14:42:24,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第三款公告
26,1213,大飲,101/12/19,11:01:28,修正100年12月份至101年10月份本公司資金貸與期末餘額。
27,1213,大飲,101/12/26,14:04:50,公告本公司第十三屆第四次董事會決議事項
