,公司代號,公司名稱,發言日期,發言時間,主旨
0,1213,大飲,109/01/31,11:25:15,公告本公司108年12月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
1,1213,大飲,109/01/31,11:37:03,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款及第三款公告
2,1213,大飲,109/02/27,10:42:44,公告本公司109年1月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
3,1213,大飲,109/02/27,13:53:13,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款及第三款公告
4,1213,大飲,109/03/24,15:00:25,公告本公司第十五屆第二十二次董事會決議事項
5,1213,大飲,109/03/24,15:20:18,本公司董事會決議盈虧撥補案
6,1213,大飲,109/03/24,15:30:16,公告108年度個體及合併財務報表
7,1213,大飲,109/03/24,15:35:07,公告董事會決議召開民國109年股東常會
8,1213,大飲,109/03/30,11:39:14,公告本公司109年2月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
9,1213,大飲,109/03/31,10:01:19,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款及第三款公告
10,1213,大飲,109/04/01,14:53:41,公告本公司取得會計師「內部控制專案審查報告」
11,1213,大飲,109/04/01,15:00:44,公告本公司取得會計師「內部控制專案審查報告」
12,1213,大飲,109/04/06,14:44:02,投保中心對本公司及本公司董事及監事提起民事訴訟事宜
13,1213,大飲,109/04/09,14:59:39,會計主管變動
14,1213,大飲,109/04/20,14:32:52,公告本公司109年3月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
15,1213,大飲,109/04/29,14:51:15,公告本公司第十五屆第二十三次董事會決議事項
16,1213,大飲,109/04/30,09:54:38,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款及第三款公告
17,1213,大飲,109/05/12,13:55:53,公告本公司第十五屆第二十四次董事會報告事項
18,1213,大飲,109/05/12,13:58:49,公告109年度第一季合併財務報表
19,1213,大飲,109/05/13,09:36:14,本公司法人董事改派代表人
20,1213,大飲,109/05/13,09:38:03,本公司法人董事指派代表人
21,1213,大飲,109/05/20,09:48:52,公告本公司109年4月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
22,1213,大飲,109/05/29,10:03:14,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款及第三款公告
23,1213,大飲,109/06/08,14:12:40,公告本公司第十五屆第二十五次董事會決議事項
24,1213,大飲,109/06/08,14:47:05,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款及第三款公告
25,1213,大飲,109/06/08,14:57:07,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第一款公告
26,1213,大飲,109/06/09,17:29:14,本公司平鎮工廠因製程洗瓶水誤排放廠區雨水溝 經桃園市環保局依水汙染防治法第46條之1罰鍰新台 幣340萬2000元整
27,1213,大飲,109/06/16,14:41:48,本公司獨立董事辭職
28,1213,大飲,109/06/16,14:45:15,本公司109年度股東常會重大決議事項
29,1213,大飲,109/06/16,14:48:37,公告本公司109年度股東常會補選獨立董事
30,1213,大飲,109/06/16,14:51:57,股東會決議解除董事競業禁止之限制
31,1213,大飲,109/06/20,10:04:49,公告本公司109年5月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
32,1213,大飲,109/06/22,16:08:02,本公司自然人董事辭職
33,1213,大飲,109/06/24,13:33:38,公告本公司第十五屆第二十六次董事會決議事項
34,1213,大飲,109/06/24,13:35:36,會計主管變動
35,1213,大飲,109/06/24,13:38:22,公告本公司董事會決議改委任薪資報酬委員會成員
36,1213,大飲,109/06/30,13:56:39,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款及第三款公告
37,1213,大飲,109/07/17,13:50:35,公告本公司109年6月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
38,1213,大飲,109/07/17,15:58:39,因本公司有價證券於集中交易市場達公佈注意交易資訊標準， 故公佈相關財務業務等重大訊息，以利投資人區別瞭解。
39,1213,大飲,109/07/28,11:12:30,公告修正本公司108年度年報部分內容
40,1213,大飲,109/07/31,14:56:35,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第二款及第三款公告
41,1213,大飲,109/08/11,14:19:18,公告本公司第十五屆第二十七次董事會決議事項
42,1213,大飲,109/08/11,15:24:36,公告109年度第二季合併財務報表
43,1213,大飲,109/08/20,10:00:59,公告本公司109年7月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
44,1213,大飲,109/08/31,13:54:17,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第三款公告
45,1213,大飲,109/09/18,09:42:25,公告本公司109年8月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊。
46,1213,大飲,109/09/25,09:56:39,公告本公司召開法說會相關訊息
47,1213,大飲,109/09/30,14:00:41,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第三款公告
48,1213,大飲,109/10/06,15:00:14,本公司平鎮工廠因廢水處理未符合放流標準， 經桃園市環保局依水汙染防治法第七條第一項裁罰 新台幣310萬2000元整
