,公司代號,公司名稱,發言日期,發言時間,主旨
0,1215,卜蜂,101/03/05,08:55:43,說明工商時報聯合報等有關高病原禽流感報導對本公司 財務業務之影響
1,1215,卜蜂,101/03/19,16:28:20,董事會決議召開101年股東常會
2,1215,卜蜂,101/04/24,17:11:10,採用國際會計準則(以下簡稱IFRSs) 對本公司及子公司 101年1月1日開帳日之財務影響
3,1215,卜蜂,101/04/24,17:11:40,董事會擬議發放現金股利
4,1215,卜蜂,101/06/21,16:30:58,本公司101年股東常會重要決議事項
5,1215,卜蜂,101/06/21,16:32:07,本公司股東常會全面改選董事
6,1215,卜蜂,101/06/21,16:33:12,本公司股東常會全面改選監察人
7,1215,卜蜂,101/06/21,16:33:52,公告本公司董事會決議現金股利配發基準日
8,1215,卜蜂,101/06/21,16:35:09,本公司董事會決議委任薪資報酬委員會成員
9,1215,卜蜂,101/06/21,18:13:10,公告本公司董事會選任董事長
10,1215,卜蜂,101/07/19,15:08:05,補正公告本公司100年度年報內容
11,1215,卜蜂,101/10/29,16:08:54,修正公告本公司100年度年報內容
