,公司代號,公司名稱,發言日期,發言時間,主旨
0,1218,泰山,102/03/28,18:33:20,公告董事會決議召開102年股東常會
1,1218,泰山,102/03/28,18:34:02,公告本公司董事會決議不發放股利事宜
2,1218,泰山,102/03/28,18:34:34,泰山公司公告總經理異動事宜
3,1218,泰山,102/03/28,18:35:11,本公司發言人及代理發言人異動
4,1218,泰山,102/03/28,18:45:13,依公開發行公司資金貸與及背書保證處理準則 第25條規定公告申報
5,1218,泰山,102/03/28,18:59:39,公告更正本公司102年1月份關係人交易資訊
6,1218,泰山,102/04/10,13:55:14,本公司董事會決議通過發行國內第一次 有擔保轉換公司債
7,1218,泰山,102/04/29,09:05:04,澄清102/04/27媒體報導
8,1218,泰山,102/05/09,14:05:37,公告本公司發行國內第一次有擔保轉換公司債之 代收及儲存契約
9,1218,泰山,102/05/10,09:01:22,陳萬柱案本公司收到法院三審裁定之說明
10,1218,泰山,102/05/15,14:01:29,公告本公司發行國內第一次有擔保轉換公司債完成訂價
11,1218,泰山,102/05/16,16:32:10,公告更正本公司102年第一季合併財務季報告會計師核閱報告
12,1218,泰山,102/05/21,13:55:06,公告本公司發行國內第一次有擔保轉換公司債募集完成
13,1218,泰山,102/05/29,14:01:29,澄清媒體報導本公司今年合併營收衝百億之訊息
14,1218,泰山,102/06/03,14:00:58,公告102/06/02南投地震對本公司財務及業務無重大影響。
15,1218,泰山,102/06/20,10:10:19,公告本公司102年股東常會重要決議事項
16,1218,泰山,102/06/20,10:12:11,公告本公司102年股東常會改選董事及監察人
17,1218,泰山,102/06/20,10:12:52,公告本公司102年度股東會決議解除本屆董事競業禁止限制事宜
18,1218,泰山,102/06/20,10:43:53,公告本公司董事會決議聘任第二屆薪資報酬委員會委員
19,1218,泰山,102/06/20,10:44:44,公告本公司董事會選舉董事長
20,1218,泰山,102/06/27,08:36:41,本公司遭陳萬柱聲請強制執行之說明
21,1218,泰山,102/07/23,16:32:35,公告修正本公司101年度股東會年報資料。
22,1218,泰山,102/10/31,08:46:01,澄清媒體報導本公司油品相關之訊息
23,1218,泰山,102/10/31,11:54:04,本公司召開記者會針對衛福部更正發出之錯誤公文提出澄清
24,1218,泰山,102/10/31,16:59:52,"因本公司有價證券於集中交易市場達公佈注意交易資訊標準, 故公佈相關財務業務等重大訊息，以利投資人區別暸解。"
25,1218,泰山,102/11/13,10:02:30,本公司澄清壹週刊第651期之報導
26,1218,泰山,102/11/13,15:50:38,本公司召開記者會針對壹週刊之報導提出澄清與說明
27,1218,泰山,102/11/13,17:58:07,本公司重大訊息記者會後補充財務業務影響之說明
28,1218,泰山,102/11/13,20:17:20,召開記者會針對衛生福利部食品藥物管理署公布本公司 油品含銅葉綠素之說明
29,1218,泰山,102/11/14,09:24:24,102年11月13日傍晚檢調單位至本公司田中廠調查一事說明
30,1218,泰山,102/11/19,17:30:42,公告本公司召開記者會後之重大訊息
31,1218,泰山,102/12/25,16:37:33,依公開發行公司資金貸與及背書保證處理準則 第25條規定公告申報
