,公司代號,公司名稱,發言日期,發言時間,主旨
0,1218,泰山,109/02/27,17:46:39,公告本公司董事會決議召開109年股東常會
1,1218,泰山,109/03/09,18:08:07,公告本公司發言人及代理發言人異動
2,1218,泰山,109/03/26,18:08:09,公告本公司董事會決議股利分派
3,1218,泰山,109/03/26,18:08:32,公告本公司董事會決議106年度現金增資發行新股計畫變更案
4,1218,泰山,109/03/26,18:08:50,代重要子公司喜威世流通(股)公司公告董事會決議 召開109年股東常會
5,1218,泰山,109/03/26,18:09:06,代重要子公司喜威世流通(股)公司公告董事會決議 不發放股利
6,1218,泰山,109/04/09,18:06:53,公告本公司董事會決議召開109年股東常會(新增議案)
7,1218,泰山,109/05/21,15:00:06,公告本公司109年股東常會重要決議事項
8,1218,泰山,109/05/21,15:00:43,公告本公司董事會決議除息基準日相關事宜
9,1218,泰山,109/05/21,15:01:45,代重要子公司喜威世流通(股)公司公告 109年股東常會重要決議事項
10,1218,泰山,109/05/21,15:02:19,代重要子公司喜威世流通(股)公司公告 董監事任期屆滿改選
11,1218,泰山,109/05/21,15:02:52,代重要子公司喜威世流通(股)公司公告選任董事長
12,1218,泰山,109/10/08,18:00:16,代重要子公司泰山(開曼)投資公司公告 董事會決議辦理減資
