,公司代號,公司名稱,發言日期,發言時間,主旨
0,1225,福懋油,104/01/07,15:47:33,公告本公司104年第一次股東臨時會流會
1,1225,福懋油,104/01/08,14:38:00,公告本公司法人董事改派代表人
2,1225,福懋油,104/01/15,15:59:27,公告本公司修正104年第二次股東臨時會議程案。
3,1225,福懋油,104/01/16,08:36:33,公告本公司修正民國104年第二次股東臨時會議程 (修正重訊符合條款)。
4,1225,福懋油,104/01/20,18:55:32,澄清本公司有關媒體報導之聲明
5,1225,福懋油,104/03/04,16:14:03,公告本公司104年第二次股東臨時會重要決議事項
6,1225,福懋油,104/03/04,16:15:16,公告本公司104年第二次股東臨時會補選董事案
7,1225,福懋油,104/03/04,16:16:23,公告本公司法人董事指派代表人
8,1225,福懋油,104/03/23,16:48:04,代子公司台灣大食品股份有限公司公告董事會決議召開 一○四年股東常會相關事宜。
9,1225,福懋油,104/03/23,16:48:31,代子公司台灣大食品股份有限公司公告董事會決議一○三年 度盈餘分配案。
10,1225,福懋油,104/03/27,18:27:18,公告本公司提報董事會103年度合併財務報表
11,1225,福懋油,104/03/27,18:30:55,公告本公司董事會決議召開104年股東常會事宜
12,1225,福懋油,104/03/27,19:18:37,公告本公司董事會決議推舉副董事長
13,1225,福懋油,104/03/27,19:33:27,董事會決議股利分派
14,1225,福懋油,104/05/06,16:17:14,代子公司台灣大食品股份有限公司公告104年股東常會重要 決議事項。
15,1225,福懋油,104/05/13,15:42:13,公告董事會通過本公司104年第一季合併財務報表
16,1225,福懋油,104/05/22,14:47:51,代子公司台灣大食品股份有限公司公告法人董事解任及監察人辭職
17,1225,福懋油,104/06/02,18:03:10,本公司今日召開臨時董事會決議授權大陸孫公司寧波福懋 油脂有限公司洽談土地廠房回購相關事宜
18,1225,福懋油,104/06/25,14:02:19,公告本公司104年股東常會重要決議事項。
19,1225,福懋油,104/06/25,14:02:39,公告104年股東常會決議通過發放現金股利
20,1225,福懋油,104/06/29,17:22:48,代子公司台灣大食品股份有限公司公告召開104年第一次 股東臨時會
21,1225,福懋油,104/07/14,08:22:06,代子公司FORMOSA OIL PROCESSING (PANAMA)S.A.轉投資 寧波福懋油脂有限公司公告處分土地廠房補償事宜
22,1225,福懋油,104/07/23,16:20:36,代子公司台灣大食品股份有限公司公告104年第一次股東臨 時會重要決議事項。
23,1225,福懋油,104/07/23,16:22:48,代子公司台灣大食品股份有限公司公告補選董事名單
24,1225,福懋油,104/07/23,16:54:30,代子公司台灣大食品股份有限公司公告補選監察人名單
25,1225,福懋油,104/08/11,16:54:33,公告董事會通過本公司104年第二季合併財務報表
26,1225,福懋油,104/11/11,16:36:50,公告董事會通過本公司104年第三季合併財務報表
27,1225,福懋油,104/11/18,16:06:32,公告本公司法人監察人改派代表人
28,1225,福懋油,104/11/20,19:54:40,代本公司監察人黃強公告召開民國105年度第一次股東臨時 會相關事宜。
29,1225,福懋油,104/11/20,19:57:30,代本公司監察人公告(法人監察人農安生技股份有限公司之代表人 葉文隆)召開民國105年度第一次股東臨時會相關事宜。
30,1225,福懋油,104/11/26,16:19:46,公告本公司會計主管異動
31,1225,福懋油,104/11/27,13:41:14,代本公司監察人公告(法人監察人農安生技股份有限公司之代表人 葉文隆)撤銷召開民國105年度第一次股東臨時會
32,1225,福懋油,104/12/03,14:51:35,代本公司監察人黃強公告撤銷召開民國105年度第一次股東臨時會
33,1225,福懋油,104/12/30,17:11:49,公告本公司會計主管異動
