,公司代號,公司名稱,發言日期,發言時間,主旨
0,1227,佳格,109/01/30,10:28:32,代大陸子公司公告春節復工時間延至2月10日
1,1227,佳格,109/03/18,14:41:06,公告本公司董事會同意解除會計主管競業禁止之限制
2,1227,佳格,109/03/18,14:41:32,本公司董事會決議召開109年股東常會
3,1227,佳格,109/03/18,14:43:45,公司本公司董事會通過108年度董事酬勞及員工酬勞分派
4,1227,佳格,109/03/18,15:01:11,本公司董事會決議股利分派
5,1227,佳格,109/03/31,17:01:23,公告本公司投資長人事任命案
6,1227,佳格,109/03/31,17:01:57,公告本公司總經理異動
7,1227,佳格,109/05/20,14:55:23,公告本公司新增資金貸與金額達最近期財務報表淨值百分之二以上
8,1227,佳格,109/06/16,12:17:49,本公司108年股東常會重要決議事項
9,1227,佳格,109/06/16,13:50:00,(更正)本公司109年股東常會重要決議事項
10,1227,佳格,109/06/17,13:44:58,公告本公司民國109年除息基準日
11,1227,佳格,109/08/07,15:43:05,本公司財務主管、會計主管及公司治理主管異動
12,1227,佳格,109/08/24,16:02:11,本公司代理發言人異動
13,1227,佳格,109/09/07,17:51:01,本公司代理發言人異動
