,公司代號,公司名稱,發言日期,發言時間,主旨
0,1231,聯華食,105/01/08,10:32:54,澄清媒體關於本公司之報導
1,1231,聯華食,105/03/25,18:27:43,本公司董事會決議盈餘轉增資發行新股
2,1231,聯華食,105/03/25,18:33:00,董事會決議股利分派
3,1231,聯華食,105/03/25,18:40:39,公告本公司董事會決議通過104年度員工酬勞及董監事酬勞分配案
4,1231,聯華食,105/03/25,18:49:31,本公司董事會決議召開105年股東常會相關事宜
5,1231,聯華食,105/06/28,11:58:44,公告本公司105年股東常會重要決議事項
6,1231,聯華食,105/06/28,12:04:45,公告本公司105年股東常會全面改選董事及監察人
7,1231,聯華食,105/06/28,12:07:13,公告本公司105年股東常會通過解除新任董事競業禁止之限制
8,1231,聯華食,105/08/11,18:35:06,公告本公司董事會決議除權息基準日
9,1231,聯華食,105/08/11,18:36:36,本公司新任法人監察人指派代表人
10,1231,聯華食,105/08/11,18:37:32,公告本公司董事會選任董事長
11,1231,聯華食,105/08/11,18:38:58,公告本公司董事會決議委任第三屆薪酬委員會委員
12,1231,聯華食,105/08/11,18:40:04,公告本公司董事會決議解除經理人競業禁止案
13,1231,聯華食,105/09/26,16:39:14,公告本公司原預定105年9月28日為現金股利發放日，如因 颱風致9月27日停止上班，現金股利發放日將順延至下一營業日。
14,1231,聯華食,105/09/28,16:36:25,公告本公司因梅姬颱風影響，順延現金股利發放日期
15,1231,聯華食,105/11/09,19:33:46,本公司公告新增資金貸與他人金額達新台幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
