,公司代號,公司名稱,發言日期,發言時間,主旨
0,1235,興泰,103/03/21,16:17:41,係因本公司有價證券於集中交易市場達公佈注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別暸解
1,1235,興泰,103/03/24,13:40:10,公告本公司董事會決議召開103年度股東常會事宜
2,1235,興泰,103/04/30,14:00:10,董事會決議股利分派
3,1235,興泰,103/06/16,10:39:11,本公司103年度股東常會重要決議事項公告
4,1235,興泰,103/06/30,13:56:41,修正本公司102年度年報部份內容
5,1235,興泰,103/07/08,15:44:22,公告本公司董事自然解任
6,1235,興泰,103/08/01,12:12:14,公告本公司法人董事改派代表人
7,1235,興泰,103/08/05,12:25:45,公告本公司聘任重要營運主管
8,1235,興泰,103/08/05,13:52:29,公告本公司董事會重要決議
9,1235,興泰,103/08/18,13:31:49,公告本公司重要營運主管異動
10,1235,興泰,103/08/22,16:23:01,係因本公司有價證券於集中交易市場達公佈注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別暸解
11,1235,興泰,103/10/16,15:00:24,係因本公司有價證券於集中交易市場達公佈注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別暸解
12,1235,興泰,103/11/18,14:00:00,更正本公司103年7至9月份月營收資訊
