,公司代號,公司名稱,發言日期,發言時間,主旨
0,1303,南亞,109/01/10,13:37:47,公告本公司2019年12月合併營業額
1,1303,南亞,109/01/10,13:38:35,公告本公司2019年第4季自結合併損益
2,1303,南亞,109/01/15,18:09:30,代子公司文菱科技公司公告取得使用權資產
3,1303,南亞,109/01/22,17:19:05,公告本公司取得資產
4,1303,南亞,109/01/30,17:36:22,代大陸子公司公告春節復工時間延至2月10日
5,1303,南亞,109/02/03,18:06:21,代子公司南亞加工絲(昆山)有限公司公告處分土地使用權
6,1303,南亞,109/02/06,13:35:12,公告本公司2020年1月合併營業額
7,1303,南亞,109/02/10,20:04:09,代大陸子公司公告春節復工時間延後(補充公告)
8,1303,南亞,109/02/12,16:09:24,代大陸南通地區子公司公告獲准復工
9,1303,南亞,109/02/17,06:44:14,代大陸子公司南亞電子材料(昆山)公司環氧樹脂廠公告 獲准復工
10,1303,南亞,109/02/21,17:56:15,補充取得資產公告
11,1303,南亞,109/03/06,13:35:40,公告本公司2020年2月合併營業額
12,1303,南亞,109/03/09,18:29:16,代子公司南亞塑膠工業(香港)有限公司公告改選董事
13,1303,南亞,109/03/09,18:29:40,代子公司南亞塑膠工業(香港)有限公司公告董事會決議 不發放股利
14,1303,南亞,109/03/09,18:30:05,代子公司南亞塑膠工業(香港)有限公司公告股東會重要決議
15,1303,南亞,109/03/11,15:47:17,本公司受邀參加日盛證券2020年第一季論壇
16,1303,南亞,109/03/18,16:46:43,公告本公司109年3月18日董事會重要決議
17,1303,南亞,109/03/18,16:47:23,公告本公司董事會決議召開109年股東常會相關事宜
18,1303,南亞,109/03/18,16:47:45,公告本公司董事會決議發行無擔保普通公司債
19,1303,南亞,109/03/18,16:48:15,公告本公司董事會決議發放股利事宜
20,1303,南亞,109/03/20,18:43:50,代子公司南亞塑膠工業(南通)有限公司公告取得固定資產
21,1303,南亞,109/03/30,16:14:31,本公司受邀參加美林證券舉辦之電話法人說明會
22,1303,南亞,109/04/10,13:34:37,公告本公司2020年3月合併營業額
23,1303,南亞,109/04/10,13:35:48,本公司2020年第1季自結合併損益公告
24,1303,南亞,109/04/28,16:30:23,本公司受邀參加玉山證券舉辦之電話法人說明會
25,1303,南亞,109/04/30,16:12:10,代子公司南亞電子材料(惠州)有限公司公告取得土地使用權
26,1303,南亞,109/05/06,13:34:11,公告本公司2020年4月合併營業額
27,1303,南亞,109/05/11,18:16:29,公告本公司董事會通過對台塑石化公司109年第3季資金貸與 金額達本公司最近期財務報表淨值2.46%
28,1303,南亞,109/05/11,18:17:03,本公司董事會通過向關係人南亞電路板股份有限公司取得 使用權資產
29,1303,南亞,109/05/11,18:17:42,公告本公司調整對「台塑河靜鋼鐵興業責任有限公司」之 投資架構
30,1303,南亞,109/05/11,18:18:42,公告本公司董事會決議增加興建銅箔四廠投資金額
31,1303,南亞,109/05/11,18:19:37,公告本公司銅箔四廠自地委建投資金額調整
32,1303,南亞,109/05/15,17:23:27,代子公司南亞美洲公司公告董事會通過對南亞德州公司 資金貸與金額達本公司最近期財務報表淨值2.20%
33,1303,南亞,109/05/21,16:11:12,修正本公司關係人交易申報資訊
34,1303,南亞,109/06/05,13:33:32,公告本公司2020年5月合併營業額
35,1303,南亞,109/06/12,14:48:12,公告本公司109年股東常會重要決議事項
36,1303,南亞,109/06/12,14:48:43,公告本公司董事會決議分派現金股利基準日
37,1303,南亞,109/07/10,13:33:33,公告本公司2020年6月合併營業額
38,1303,南亞,109/07/10,13:35:19,公告本公司2020年第2季自結合併損益
39,1303,南亞,109/07/30,17:14:47,代子公司南亞塑膠工業(寧波)有限公司公告取得資產
40,1303,南亞,109/08/06,13:36:36,公告本公司2020年7月合併營業額
41,1303,南亞,109/08/26,17:16:43,本公司受邀參加永豐金證券舉辦之法人說明會
42,1303,南亞,109/09/07,13:33:27,公告本公司2020年8月合併營業額
43,1303,南亞,109/09/15,16:36:42,補充說明本公司於109年3月18日公告發行無擔保普通公司債
44,1303,南亞,109/09/15,17:28:37,代子公司南亞塑膠美洲公司公告增加投資南亞塑膠德州公司
45,1303,南亞,109/10/08,13:34:06,公告本公司2020年9月合併營業額
46,1303,南亞,109/10/08,13:34:32,公告本公司2020年第3季自結合併損益
