,公司代號,公司名稱,發言日期,發言時間,主旨
0,1305,華夏,100/01/05,17:34:18,代子公司台灣氯乙烯工業股份有限公司公告違反「空氣 污染防制法第20條第1項」規定，爰依「空氣污染防制法第 56條」規定罰鍰新台幣10萬元整。
1,1305,華夏,100/03/14,12:10:17,公告100/03/11日本發生強震及海嘯對本公司財務及業務 尚未發現有重大影響
2,1305,華夏,100/03/14,12:10:52,代子公司台灣氯乙烯工業股份有限公司公告100/03/11 日本發生強震及海嘯對該公司財務及業務尚未發現有重大影響
3,1305,華夏,100/03/15,17:38:01,公告本公司處分華南永昌鳳翔貨幣市場證券投資信託基金
4,1305,華夏,100/03/16,15:58:01,公告本公司董事會決議一００年股東常會召開日期、 召集事由、停止過戶日期及受理股東提案期間。
5,1305,華夏,100/03/16,15:58:58,代子公司台灣氯乙烯工業股份有限公司公告董事會決議 一００年股東常會召開日期、召集事由、停止過戶日期及受理股 東提案期間
6,1305,華夏,100/03/16,16:03:16,公告本公司董事會通過九十九年度盈餘不予分配。
7,1305,華夏,100/03/16,16:03:42,代子公司台灣氯乙烯工業股份有限公司公告董事會決議無 股利發放。
8,1305,華夏,100/03/16,16:04:20,公告本公司董事會通過99年度財務報表。
9,1305,華夏,100/04/08,13:49:32,更正本公司及子公司Krystal Star International Corporation於財務報告暨相關公告訊息揭露對World Star Investment Ltd.資金貸與餘額應改列為非屬資金貸與性質。
10,1305,華夏,100/04/11,15:30:30,澄清經濟日報100年4月11日C2版報導
11,1305,華夏,100/04/22,17:18:20,代子公司台灣氯乙烯工業股份有限公司公告高雄市政府 裁處該公司違反空氣污染防制法第２０條第１項之規定，並 依空氣污染防制法第５６條裁處。
12,1305,華夏,100/05/18,15:35:41,代子公司台灣氯乙烯工業股份有限公司公告一００年 股東常會重要決議事項。
13,1305,華夏,100/05/20,16:50:31,公告本公司對華夏聚合股份有限公司新增背書保證金額達三 千萬以上且達本公司最近期財務報表淨值百分之五以上.
14,1305,華夏,100/05/27,17:06:56,更正本公司100/03/16公告九十九年度盈餘不予分配之其他 應敘明事項中誤植員工紅利發放情形。
15,1305,華夏,100/06/13,15:41:10,澄清經濟日報100年6月12日A6版報導
16,1305,華夏,100/06/22,14:57:18,一００年股東常會重要決議事項。
17,1305,華夏,100/06/24,16:29:55,公告本公司100%持有之國外子公司Krystal Star 擬新增 對本公司100%持有之國外子公司CGPC(BVI)從事短期資金 融通美金300萬元.
18,1305,華夏,100/06/24,16:30:17,公告本公司100%持有之國外子公司CGPC(BVI)擬新增對本 公司100%間接持有之國外孫公司華夏塑膠(中山)有限公 司從事短期資金融通美金400萬元.
19,1305,華夏,100/06/28,17:49:12,代子公司台灣氯乙烯工業股份有限公司公告高雄市政府 裁處違反空氣污染防制法第32條第1項規定，並處以罰鍰新 台幣10萬元整。
20,1305,華夏,100/08/22,15:51:46,公告本公司董事會決議之重大事項。
21,1305,華夏,100/08/22,15:52:15,本公司董事會決議通過解散華塑歐洲公司(China General (Europe)Limited)。
22,1305,華夏,100/08/22,15:52:44,公告本公司董事會通過解除經理人競業禁止之限制案。
23,1305,華夏,100/09/27,18:10:17,公告本公司從事衍生性商品損失達損失上限.
24,1305,華夏,100/10/03,17:41:59,公告本公司從事衍生性商品損失達損失上限.
25,1305,華夏,100/10/24,17:15:24,本公司董事會決議通過解散華夏塑膠(中山)有限公司 及中山華聚塑化製品有限公司。
26,1305,華夏,100/10/25,17:43:49,代孫公司華夏塑膠(中山)有限公司及中山華聚塑化製 品有限公司公告董事會決議之重大事項。
27,1305,華夏,100/11/24,15:00:23,澄清經濟日報100年11月24日C6版報導
28,1305,華夏,100/12/09,15:02:09,公告本公司對華夏聚合股份有限公司新增背書保證金額達三 千萬以上且達本公司最近期財務報表淨值百分之五以上.
29,1305,華夏,100/12/28,17:29:57,公告本公司董事會決議通過設置薪資報酬委員會及制定薪 資報酬委員會組織規程
30,1305,華夏,100/12/28,17:31:54,本公司董事會決議通過解散World Star Investments Ltd.
