,公司代號,公司名稱,發言日期,發言時間,主旨
0,1309,台達化,100/03/14,12:10:00,公告日本強震對本公司財務及業務尚未發現有重大影響
1,1309,台達化,100/03/16,17:31:48,公告本公司盈餘分配股票股利轉增資
2,1309,台達化,100/03/16,17:32:26,公告本公司董事會通過99年度決議發放股東股利及員工紅利
3,1309,台達化,100/03/16,17:33:34,公告本公司董事會決議九十九年股東常會召開日期、 召集事由、停止過戶日期及受理股東提案期間。
4,1309,台達化,100/03/16,17:34:05,公告本公司董事會通過99年度財務報表
5,1309,台達化,100/03/24,17:21:09,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
6,1309,台達化,100/03/24,17:23:28,更正本公司100/03/16公告100年股東常會召開相關事項誤植為 ”九十九年股東常會”，其餘公告內容不變。
7,1309,台達化,100/04/19,18:06:57,代子公司台達化工(天津)有限公司公告新增對台達化工(中山)有 限公司背書保證金額達本公司最近期財務報表淨值百分之五以上
8,1309,台達化,100/05/16,08:57:11,公告本公司貨櫃於海關抽驗時發生氣爆案
9,1309,台達化,100/05/16,09:15:51,更正公告本公司貨櫃於海關抽驗時發生氣爆案
10,1309,台達化,100/06/22,15:02:48,公告本公司100年股東常會重要決議事項。
11,1309,台達化,100/07/22,16:52:41,公告本公司董事會決議配息及配股基準日
12,1309,台達化,100/08/22,15:56:05,公告本公司董事會通過100年上半年度財務報表
13,1309,台達化,100/08/29,16:06:54,公告本公司發言人變動
14,1309,台達化,100/09/30,17:41:45,公告本公司新增對子公司台達化工(中山)有限公司新增背書保證 金額達本公司最近期財務報表淨值百分之五以上
15,1309,台達化,100/10/03,17:34:28,公告本公司遠期契約損失達個別契約之5%
16,1309,台達化,100/12/28,17:15:16,本公司董事會決議設置薪資報酬委員會， 制定薪資報酬委員會組織規程， 並委任本公司薪資報酬委員會成員。
