,公司代號,公司名稱,發言日期,發言時間,主旨
0,1310,台苯,102/01/11,18:20:15,澄清有關報載台苯前經營團隊遭檢調約談
1,1310,台苯,102/01/11,18:20:37,檢調單位於102年1月11日至本公司搜索事宜。
2,1310,台苯,102/01/13,18:50:17,澄清有關報載台苯前經營團隊遭檢調約談
3,1310,台苯,102/01/14,18:05:58,公告本公司減資換發股票作業計畫及減資換發股票基準日(更正)
4,1310,台苯,102/02/06,17:24:06,本公司撤回101年12月28日送件申請之現金增資案。
5,1310,台苯,102/02/07,17:13:13,董事會決議召開臨時股東會
6,1310,台苯,102/02/07,17:15:31,公告董事會決議擬以私募方式發行普通股
7,1310,台苯,102/02/07,17:15:57,公告本公司發言人、財務主管及會計主管異動
8,1310,台苯,102/02/26,17:43:49,公告本公司監察人辭任
9,1310,台苯,102/02/27,17:39:16,公告本公司董事長變動
10,1310,台苯,102/02/27,17:39:44,公告本公司法人董事元捷投資(股)公司之股權代表人異動
11,1310,台苯,102/03/01,08:43:11,公告本公司代理發言人異動
12,1310,台苯,102/03/06,11:23:07,補充公告本公司董事會決議擬以私募方式發行普通股資訊
13,1310,台苯,102/03/07,15:23:16,補充公告本公司董事會決議擬以私募方式發行普通股資訊
14,1310,台苯,102/03/27,16:52:13,公告102年3月27日地震對本公司財務及業務並無重大影響
15,1310,台苯,102/03/29,18:23:29,公告本公司董事會召開102年股東常會事宜
16,1310,台苯,102/03/29,18:24:06,"本公司董事會決議101年度虧損,擬不配發股利"
17,1310,台苯,102/04/03,17:34:22,公告本公司102年第1次股東臨時會重要決議事項
18,1310,台苯,102/04/03,17:34:42,公告本公司董事會決議一致推選林文淵先生續任董事長
19,1310,台苯,102/04/08,16:31:46,公告本公司改選董事變動
20,1310,台苯,102/04/12,11:35:11,澄清有關報載台苯第1季轉盈第2季更好
21,1310,台苯,102/04/22,17:36:42,公告本公司監察人辭任
22,1310,台苯,102/05/15,16:55:49,公告修正本公司102年第1季合併財務報告公告事項
23,1310,台苯,102/06/03,10:39:24,公告102年6月2日地震對本公司財務及業務並無重大影響
24,1310,台苯,102/06/17,14:25:57,公告本公司法人董事和合國際開發有限公司之股權代表人異動
25,1310,台苯,102/06/18,14:37:00,更正本公司法人董事和合國際開發有限公司代表人姓名
26,1310,台苯,102/06/25,15:10:08,公告本公司102年股東常會重要決議事項
27,1310,台苯,102/06/26,12:39:49,澄清有關報載台苯設汽電共生年省4億元
28,1310,台苯,102/07/01,11:47:00,澄清有關報載台苯今年可望彌平虧損
29,1310,台苯,102/07/23,10:39:12,澄清有關報載台苯今年每股拚賺0.5元
30,1310,台苯,102/08/12,17:28:13,公告本公司發言人異動
31,1310,台苯,102/08/12,17:28:41,公告本公司代理發言人異動
32,1310,台苯,102/08/13,17:03:27,本公司董事會決議請林文淵董事長兼任總執行長
33,1310,台苯,102/08/13,17:03:50,公告本公司財務主管異動
34,1310,台苯,102/08/19,11:01:19,澄清有關報載台苯投資汽電共生7月獲利可望逼近上半年等報導
35,1310,台苯,102/10/02,10:52:36,澄清有關報載台苯Q3每股將賺逾1元
36,1310,台苯,102/10/17,15:52:13,補正公告本公司董事會委任薪酬委員
37,1310,台苯,102/10/25,11:21:04,澄清有關報載台苯10月將淨賺1億元等獲利訊息
38,1310,台苯,102/11/01,20:25:21,代子公司裕盛公司、力福公司、元福公司及美福公司公告 董事會決議合併事宜
39,1310,台苯,102/11/12,14:31:51,公告本公司財務主管異動
40,1310,台苯,102/11/13,10:35:24,澄清有關報載台苯今年EPS等獲利訊息
41,1310,台苯,102/11/25,18:25:41,公告本公司法人董事元捷投資(股)公司之股權代表人異動
42,1310,台苯,102/12/23,16:35:39,董事會決議投資汽電共生廠補充公告
43,1310,台苯,102/12/24,15:41:54,公告本公司汽電共生廠統包工程簽約
