,公司代號,公司名稱,發言日期,發言時間,主旨
0,1312,國喬,106/03/23,14:41:17,公告本公司董事會決議召開106年股東常會事宜
1,1312,國喬,106/03/23,14:41:51,公告本公司董事會通過105年度個體綜合損益表
2,1312,國喬,106/03/23,14:48:23,董事會決議股利分派
3,1312,國喬,106/03/23,14:48:45,董事會決議股利分派
4,1312,國喬,106/03/23,16:36:10,澄清105年度現金股利發放事宜
5,1312,國喬,106/06/12,14:28:52,公告本公司105年度年報更正事宜
6,1312,國喬,106/06/16,11:13:40,公告本公司改選董事名單
7,1312,國喬,106/06/16,11:33:02,公告本公司第二屆審計委員會委員
8,1312,國喬,106/06/16,11:36:04,公告本公司股東會通過解除董事競業禁止案
9,1312,國喬,106/06/16,11:37:47,公告本公司106年股東常會重要決議事項
10,1312,國喬,106/06/27,13:41:53,公告本公司訂定除息基準日
11,1312,國喬,106/06/27,14:07:53,公告本公司董事會通過委任第三屆薪酬委員會委員
12,1312,國喬,106/06/27,14:16:36,本公司第十二屆董事會選任董事長
13,1312,國喬,106/08/01,11:16:06,公告修改本公司105年度年報部分內容
14,1312,國喬,106/08/14,15:32:27,106年上半年度簡明合併綜合損益表中綜合損益總額 歸屬於非控制權益金額誤植至綜合損益總額歸屬於共同控制下 前手損益
15,1312,國喬,106/08/15,15:23:09,研發主管異動
