,公司代號,公司名稱,發言日期,發言時間,主旨
0,1314,中石化,105/01/26,11:27:32,澄清工商時報B4版報導
1,1314,中石化,105/03/15,17:44:04,公告本公司審計委員會通過辦理現金增資或現金增資發行 普通股方式參與發行海外存託憑證
2,1314,中石化,105/03/29,17:06:39,公告召開本公司105年股東常會事宜
3,1314,中石化,105/03/29,17:06:59,公告本公司董事會通過辦理現金增資或現金增資發行普通股 方式參與發行海外存託憑證
4,1314,中石化,105/04/21,16:47:33,處分台灣志氯化學股份有限公司股權
5,1314,中石化,105/04/21,16:59:09,董事會決議不分派股利
6,1314,中石化,105/04/21,17:24:53,公告本公司董事會決議通過104年度員工酬勞及董事酬勞
7,1314,中石化,105/04/21,18:19:39,公告召開本公司105年股東常會事宜
8,1314,中石化,105/04/21,18:34:08,公告本公司法人董事改派代表人
9,1314,中石化,105/04/21,18:35:38,公告本公司董事長異動
10,1314,中石化,105/05/12,17:20:46,公告召開本公司105年股東常會事宜
11,1314,中石化,105/05/12,17:42:55,公告本公司總經理異動
12,1314,中石化,105/05/25,11:46:40,說明媒體報導內容
13,1314,中石化,105/06/24,15:01:39,公告本公司105年股東常會重要決議事項
14,1314,中石化,105/06/24,15:02:01,公告本公司股東常會決議通過解除董事競業禁止之限制案
15,1314,中石化,105/06/28,18:20:24,本公司董事會決議變更本公司經由第三地區事業間接投資大陸地區 江蘇威名石化有限公司之投資架構與項目
16,1314,中石化,105/06/28,19:46:45,公告本公司民國103年海外第二次有擔保公司債運用計畫變更
17,1314,中石化,105/06/29,17:35:00,本公司代子公司江蘇威名石化有限公司公告取得 廠房工程與機器設備
18,1314,中石化,105/07/12,18:30:47,本公司代子公司中華雙子星開發(股)公司公告以不超過 新台幣4億元認購京華城(股)公司發行之私募戊種特別股
19,1314,中石化,105/07/12,18:31:45,公告本公司財務主管異動
20,1314,中石化,105/07/14,15:01:12,本公司公告增設二位代理發言人事宜
21,1314,中石化,105/07/26,17:47:45,代子公司江蘇威名石化有限公司公告取得理財產品
22,1314,中石化,105/08/28,18:05:54,公告本公司對美國Axiall Corporation提付仲裁
23,1314,中石化,105/09/02,15:38:24,代子公司江蘇威名石化有限公司公告處分理財產品
24,1314,中石化,105/09/18,12:32:06,公告105/09/14莫蘭蒂颱風對本公司的影響
25,1314,中石化,105/10/13,18:39:01,本公司審計委員會決議變更本公司經由第三地區事業間接投資大陸 地區浙江威聚新材料有限公司之尼龍粒項目投資架構。
26,1314,中石化,105/10/26,18:37:59,公告本公司董事員會決議變更本公司經由第三地區事業間接投資 大陸地區浙江威聚新材料有限公司之尼龍粒項目投資架構。
27,1314,中石化,105/10/26,18:38:26,公告本公司民國103年海外第二次有擔保公司債運用計畫變更
28,1314,中石化,105/11/22,18:10:53,本公司代子公司兆欣化學工業(股)公司公告 以不超過NT$4億8千萬元認購泰緯生命科 技(股)公司增資發行普通股
29,1314,中石化,105/11/23,18:19:44,公告本公司代理發言人異動
30,1314,中石化,105/12/21,17:23:43,代子公司江蘇威名石化有限公司公告取得理財產品
31,1314,中石化,105/12/30,16:22:16,本公司代子公司江蘇威名石化有限公司公告取得 土地使用權、廠房工程與機器設備
