,公司代號,公司名稱,發言日期,發言時間,主旨
0,1315,達新,105/01/15,10:19:32,澄清媒體報導
1,1315,達新,105/01/29,17:19:21,代子公司日本達新商事株式會社 公告副社長林清治退休
2,1315,達新,105/03/03,15:10:16,代子公司達新塑膠工業(東莞)有限公司 公告總經理楊瑞文退休
3,1315,達新,105/03/28,17:44:32,公告本公司董事會重要決議
4,1315,達新,105/03/28,17:45:01,公告本公司董事會決議召開105年股東常會事宜
5,1315,達新,105/03/28,17:45:28,公告本公司董事會決議通過104年度個體財務報表及合併財務報表
6,1315,達新,105/03/28,17:45:55,公告本公司董事會決議通過104年度員工酬勞及董監事酬勞分配
7,1315,達新,105/03/28,17:52:53,董事會決議股利分派
8,1315,達新,105/05/11,15:10:07,公告本公司董事會重要決議
9,1315,達新,105/05/11,15:10:50,公告本公司提報董事會105年第1季合併財務報告
10,1315,達新,105/05/23,10:52:10,澄清105年5月23日工商時報B4版媒體報導
11,1315,達新,105/06/17,17:10:34,公告本公司105年股東常會重要決議事項
12,1315,達新,105/06/17,17:12:19,公告本公司董事會重大決議
13,1315,達新,105/06/17,17:13:58,公告本公司董事會決議股利配發基準日
14,1315,達新,105/07/21,15:18:47,公告修正本公司104年度年報部份內容
15,1315,達新,105/08/08,16:05:42,代重要子公司達新商事株式會社對國本和男等人 提出民事訴訟。
16,1315,達新,105/08/11,17:43:22,公告本公司董事會重要決議
17,1315,達新,105/08/11,17:44:16,公告本公司提報董事會105年上半年度合併財務報告
18,1315,達新,105/11/11,16:55:21,公告本公司董事會重要決議
19,1315,達新,105/11/11,16:55:52,公告本公司提報董事會104年第3季合併財務報告
20,1315,達新,105/11/13,15:34:52,更正105年第3季合併財務報告之主旨說明
21,1315,達新,105/12/12,16:51:52,公告本公司廠務主管退休
22,1315,達新,105/12/18,15:16:28,代子公司緬甸達新工業有限公司 公告總經理陳武耀退休
