,公司代號,公司名稱,發言日期,發言時間,主旨
0,1316,上曜,101/01/09,18:46:21,公告本公司因業務往來對孫公司資金貸與案。
1,1316,上曜,101/01/31,15:29:18,公告召開本公司101年股東常會
2,1316,上曜,101/01/31,18:24:27,公告本公司董事會決議辦理私募增資發行新股相關事宜
3,1316,上曜,101/02/01,09:41:09,更正101年1月31日本公司董事會決議辦理私募之公告，其中暫 定應募人大都會網路科技(股)公司誤植為永輝光電(股)公司予 以更正。
4,1316,上曜,101/02/01,11:55:11,公告本公司法人董事代表人異動
5,1316,上曜,101/02/07,16:22:33,因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公告相關財務業務等重大訊息，以利投資人區別瞭解。
6,1316,上曜,101/03/07,16:25:47,公告修改本公司101年股東常會召集事由
7,1316,上曜,101/03/07,17:02:51,公告本公司董事會決議不發放股利
8,1316,上曜,101/04/18,16:13:00,公告本公司101年股東常會重要決議事項
9,1316,上曜,101/05/07,13:40:53,公告修正本公司101年2月至3月營收資訊
10,1316,上曜,101/05/11,07:30:09,揭露國家會計準則對本公司財務報告之影響
11,1316,上曜,101/05/15,13:40:24,公告本公司內部稽核主管異動
12,1316,上曜,101/06/13,11:44:31,公告近日豪大雨對本公司財務、業務並無影響
13,1316,上曜,101/07/06,13:47:09,公告本公司內部稽核主管異動
14,1316,上曜,101/07/06,13:48:49,公告本公司代理發言人異動
15,1316,上曜,101/07/19,14:23:44,公告本公司法人監察人異動
16,1316,上曜,101/08/17,13:46:07,澄清媒體報導
17,1316,上曜,101/08/20,16:42:57,因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公告相關財務業務等重大訊息，以利投資人區別瞭解。
18,1316,上曜,101/09/28,13:47:00,公告本公司變更會計師事務所
19,1316,上曜,101/11/15,14:58:08,不繼續辦理101年度股東常會通過之私募普通股案。
20,1316,上曜,101/11/15,15:00:26,公告本公司董事會決議辦理私募增資發行新股相關事宜
21,1316,上曜,101/11/15,17:39:41,公告本公司102年股東臨時會召集事由
22,1316,上曜,101/11/16,14:42:11,公告本公司私募普通股參考價格之修正
23,1316,上曜,101/11/19,16:24:33,因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公告相關財務業務等重大訊息，以利投資人區別瞭解。
24,1316,上曜,101/12/10,13:51:15,修正本公司102年股東臨時會召集事由
25,1316,上曜,101/12/10,13:54:51,公告本公司總經理異動
26,1316,上曜,101/12/10,14:13:05,公告本公司法人董事代表人異動
27,1316,上曜,101/12/10,14:15:19,公告本公司薪資報酬委員會委員異動
28,1316,上曜,101/12/17,14:48:58,公告本公司薪資報酬委員會委員異動
