,公司代號,公司名稱,發言日期,發言時間,主旨
0,1319,東陽,106/01/13,15:04:30,本公司受邀參加元富證券於新加坡及香港舉辦之海外路演(NDR)
1,1319,東陽,106/03/21,14:59:11,"本公司應美林證券邀請至台北參加2017 APAC Telecom, Media & Technology Conference 論壇"
2,1319,東陽,106/03/24,12:01:41,公告本公司董事會決議召開一０六年股東常會相關事宜
3,1319,東陽,106/03/24,12:01:56,董事會決議股利分派
4,1319,東陽,106/03/26,09:32:44,公告本公司105年累計合併營收自結數與會計師 查核數差異之說明
5,1319,東陽,106/04/20,11:06:21,澄清大眾媒體報導之相關說明
6,1319,東陽,106/04/24,11:09:57,澄清大眾媒體報導之相關說明
7,1319,東陽,106/04/24,15:45:11,本公司受邀參加麥格理證券舉辦之海外論壇
8,1319,東陽,106/05/22,15:01:05,本公司受邀參加花旗證券舉辦之海外論壇
9,1319,東陽,106/06/12,15:00:53,本公司應元大證券邀請參加投資論壇
10,1319,東陽,106/06/20,13:40:16,106年股東常會重要決議事項
11,1319,東陽,106/06/20,13:41:06,公告本公司改選董事資料
12,1319,東陽,106/06/20,13:41:58,公告本公司設置審計委員會，監察人自然解任
13,1319,東陽,106/06/20,13:42:27,薪資報酬委員會委員任期屆滿
14,1319,東陽,106/06/20,13:43:07,公告本公司審計委員會之委員選任
15,1319,東陽,106/06/20,13:43:41,本公司股東會解除董事競業禁止之限制
16,1319,東陽,106/06/28,15:01:27,本公司董事長及副董事長續任公告
17,1319,東陽,106/06/28,15:02:16,公告本公司董事會決議通過委任第三屆薪資報酬委員會委員
18,1319,東陽,106/06/28,15:02:46,公告本公司董事會決議配息基準日
19,1319,東陽,106/10/17,10:58:20,澄清大眾媒體報導之相關說明
20,1319,東陽,106/11/09,15:08:22,對財團法人東陽吳篙文教基金會捐贈
