,公司代號,公司名稱,發言日期,發言時間,主旨
0,1323,永裕,102/02/19,16:35:38,因應IFRSs實施，本公司營收認列方式與過去產生重大差異說明
1,1323,永裕,102/03/26,15:54:06,董事會通過102年股東會召開事宜。
2,1323,永裕,102/03/26,16:02:09,董事會決議股利分派
3,1323,永裕,102/03/27,08:08:43,本公司董事會決議盈餘轉增資發行新股
4,1323,永裕,102/03/27,13:23:47,南投6.1級地震對本公司財務業務無重大影響.
5,1323,永裕,102/04/19,14:54:43,代重要子公司精奕興業公司發佈股東會重要決議
6,1323,永裕,102/04/19,14:54:56,代重要子公司精奕興業公司發佈除息基準日為102年4月26日
7,1323,永裕,102/05/21,17:12:20,公告本公司股務代理機構合併事宜
8,1323,永裕,102/06/03,09:27:11,102年6月2日南投地震對本公司財務或業務並無重大影響
9,1323,永裕,102/06/25,11:10:49,公告本公司102年股東常會之重要決議事項。
10,1323,永裕,102/07/04,13:49:13,本公司董事會決議配息基準日為102年7月28日
11,1323,永裕,102/08/06,13:12:45,本公司董事會決議配股基準日102年8月31日
