,公司代號,公司名稱,發言日期,發言時間,主旨
0,1324,地球,106/03/16,15:31:59,董事會決議股利分派
1,1324,地球,106/03/16,15:32:23,公告本公司董事會決議召開民國一○六年股東常會相關事宜
2,1324,地球,106/03/16,15:37:19,105年營運及財務概況說明
3,1324,地球,106/03/16,16:19:22,公告本公司將於106年3月22日召開法人說明會
4,1324,地球,106/05/12,14:21:57,代重要子公司珠海地球膠粘科技有限公司公告法人董事代表 人異動
5,1324,地球,106/06/22,15:19:33,公告本公司一○六年股東常會重要決議事項
6,1324,地球,106/07/21,15:48:28,公告修正本公司105年度股東會年報部分內容
7,1324,地球,106/08/10,14:46:40,公告本公司董事會決議106年現金股利配息基準日
8,1324,地球,106/11/09,14:19:58,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上者
9,1324,地球,106/12/14,17:03:54,公告本公司董事會決議對關係人之捐贈事宜。
