,公司代號,公司名稱,發言日期,發言時間,主旨
0,1326,台化,105/01/11,13:30:51,公告本公司104年12月合併營業額
1,1326,台化,105/01/11,13:31:43,公告本公司104年度自結合併損益
2,1326,台化,105/01/21,16:34:52,補充公告本公司取得兆豐國際私募美元豐碩貨幣市場基金
3,1326,台化,105/02/05,13:31:01,公告本公司105年1月合併營業額
4,1326,台化,105/02/18,15:33:41,澄清工商時報有關本公司投資計畫之報導
5,1326,台化,105/03/07,13:31:24,公告本公司105年2月合併營業額
6,1326,台化,105/03/16,16:33:31,董事會決議股利分派
7,1326,台化,105/03/16,16:37:50,公告本公司董事會決議召開股東會相關事宜
8,1326,台化,105/03/16,16:42:26,公告本公司董事會通過對台塑公司105年第二季 資金貸與金額達最近期財務報表淨值2.12%
9,1326,台化,105/03/16,16:43:49,公告本公司董事會通過對南亞公司105年第二季 資金貸與金額達最近期財務報表淨值2.12%
10,1326,台化,105/03/16,16:44:32,公告本公司董事會通過對台塑石化公司105年第二季 資金貸與金額達最近期財務報表淨值2.12%
11,1326,台化,105/03/16,16:44:55,公告本公司董事會通過對台朔重工公司105年第二季 資金貸與金額達最近期財務報表淨值2.12%
12,1326,台化,105/03/16,16:45:56,公告本公司及子公司對台塑河靜(開曼)有限公司背書保證 新增金額達本公司最近期財務報表淨值之6.22%
13,1326,台化,105/03/16,16:49:57,公告本公司董事會通過分派104年度員工酬勞
14,1326,台化,105/03/16,16:54:08,公告本公司董事會通過重要決議
15,1326,台化,105/03/24,16:46:38,補充公告本公司取得兆豐國際私募美元豐碩貨幣市場基金
16,1326,台化,105/04/11,13:31:57,公告本公司105年3月合併營業額
17,1326,台化,105/04/11,13:34:06,公告本公司105年第1季自結合併損益
18,1326,台化,105/05/06,13:30:50,公告本公司105年4月合併營業額
19,1326,台化,105/05/06,15:49:05,公告本公司董事會通過對台塑石化公司105年第三季 資金貸與金額達最近期財務報表淨值3.08%
20,1326,台化,105/05/06,15:51:25,公告本公司董事會通過對台塑集團開曼公司105年6~9月 資金貸與金額達最近期財務報表淨值3.15%
21,1326,台化,105/05/10,16:46:55,補充公告本公司取得兆豐國際私募美元豐碩貨幣市場基金
22,1326,台化,105/06/07,16:38:24,公告本公司股東常會重要決議事項
23,1326,台化,105/06/07,16:46:54,公告本公司董事會決議分派現金股利基準日
24,1326,台化,105/06/08,13:30:59,公告本公司105年5月合併營業額
25,1326,台化,105/07/01,07:48:15,說明105年6月30日越南政府發佈中部沿海魚群死亡 調查結果相關報導
26,1326,台化,105/07/07,10:08:27,補充說明本公司105年7月1日重大訊息
27,1326,台化,105/07/11,13:30:13,公告本公司105年6月合併營業額
28,1326,台化,105/07/11,13:31:42,公告本公司105年第2季自結合併損益
29,1326,台化,105/08/04,17:05:32,擬增加投資關係人台塑合成橡膠工業(香港)有限公司
30,1326,台化,105/08/05,15:58:57,公告本公司增加投資台塑合成橡膠工業(香港)有限公司
31,1326,台化,105/08/05,16:01:25,公告本公司董事會通過對南亞科技公司105年9~12月 資金貸與金額達最近期財務報表淨值3.59%
32,1326,台化,105/08/09,13:30:08,公告本公司105年7月合併營業額
33,1326,台化,105/08/16,09:32:40,說明媒體報導本公司彰化廠相關訊息
34,1326,台化,105/09/05,17:25:14,公告本公司財務主管異動
35,1326,台化,105/09/06,13:30:22,公告本公司105年8月合併營業額
36,1326,台化,105/09/29,17:35:34,本公司彰化廠汽電共生設備操作許可證展延申請聲明
37,1326,台化,105/10/11,06:54:08,本公司彰化廠三座汽電共生機組已完成停車
38,1326,台化,105/10/11,13:31:09,公告本公司105年9月合併營業額
39,1326,台化,105/10/11,13:32:44,公告本公司105年第3季自結合併損益
40,1326,台化,105/10/12,11:27:26,說明媒體報導有關本公司第四季營收
41,1326,台化,105/11/02,11:59:44,說明媒體報導有關本公司彰化廠聲請假處分案遭駁回
42,1326,台化,105/11/04,16:03:32,公告本公司從事大陸地區投資組織架構調整
43,1326,台化,105/11/04,16:05:14,公告本公司轉投資大陸寧波廠區四家子公司辦理合併
44,1326,台化,105/11/04,16:10:13,公告本公司董事會通過捐贈長庚大學
45,1326,台化,105/11/04,16:11:32,公告本公司董事會決議通過新任財務主管
46,1326,台化,105/11/07,13:32:59,公告本公司105年10月合併營業額
47,1326,台化,105/12/06,13:30:39,公告本公司105年11月合併營業額
48,1326,台化,105/12/12,15:58:36,公告本公司董事會通過對台塑公司106年第一季 資金貸與金額達最近期財務報表淨值2.05%
49,1326,台化,105/12/12,15:59:19,公告本公司董事會通過對南亞公司106年第一季 資金貸與金額達最近期財務報表淨值2.05%
50,1326,台化,105/12/12,15:59:46,公告本公司董事會通過對台朔重工公司106年第一季 資金貸與金額達最近期財務報表淨值2.05%
51,1326,台化,105/12/12,16:00:27,公告本公司董事會通過對台塑石化公司106年第一季 資金貸與金額達最近期財務報表淨值2.05%
