,公司代號,公司名稱,發言日期,發言時間,主旨
0,1338,廣華-KY,109/01/29,19:44:57,公告武漢肺炎疫情對本公司財務業務之影響
1,1338,廣華-KY,109/02/21,17:12:17,公告大陸各子公司復工進度
2,1338,廣華-KY,109/03/09,22:30:14,董事會決議召開一○九年股東常會
3,1338,廣華-KY,109/03/30,19:41:24,董事會決議股利分派
4,1338,廣華-KY,109/05/08,21:59:44,代本公司之重要子公司傲成集團有限公司公告 董事會決議股利分派。
5,1338,廣華-KY,109/05/08,22:01:25,代本公司之重要子公司東莞廣澤汽車飾件有限公司公告 董事會決議股利分派。
6,1338,廣華-KY,109/05/26,21:35:20,代子公司東莞廣澤汽車飾件有限公司公告投標取得土地
7,1338,廣華-KY,109/05/29,15:22:35,公告本公司109年股東會決議事項
8,1338,廣華-KY,109/05/29,21:32:01,本公司股東常會決議解除董事競業禁止案
9,1338,廣華-KY,109/06/18,14:10:58,公告本公司董事會決議除息基準日
10,1338,廣華-KY,109/06/18,14:11:38,公告本公司董事會決議發行中華民國境內第一次無擔保轉換公司債
11,1338,廣華-KY,109/07/10,17:39:15,更正本公司109年度第一季合併財務報告第14頁
12,1338,廣華-KY,109/07/15,23:01:10,代子公司東莞廣澤汽車飾件有限公司公告取得廠房
13,1338,廣華-KY,109/08/11,21:43:27,代子公司傲成集團有限公司公告增資蘇州廣晉汽車飾件有限公司
14,1338,廣華-KY,109/08/11,21:46:36,代子公司東莞廣澤汽車飾件有限公司公告董事會決議盈餘轉增資
15,1338,廣華-KY,109/08/12,14:15:47,更正公告本公司109年第二季財務報告大陸投資部分資訊
16,1338,廣華-KY,109/09/09,10:16:42,澄清媒體報導
17,1338,廣華-KY,109/10/15,22:27:19,公告本公司申請延長公開募集與發行中華民國境內第一次 無擔保轉換公司債之募集期間業經金管會同意備查
