,公司代號,公司名稱,發言日期,發言時間,主旨
0,1340,勝悅-KY,107/03/22,17:16:12,公告本公司董事會決議召開107年股東常會
1,1340,勝悅-KY,107/03/22,17:17:25,公告本公司取得會計師2017年內部控制專案審查報告
2,1340,勝悅-KY,107/03/22,17:27:54,公告本公司提報董事會2017年第四季合併財務報表
3,1340,勝悅-KY,107/03/22,17:30:55,公告本公司董事會決議不分配員工酬勞及董事監察人酬勞
4,1340,勝悅-KY,107/05/02,17:15:07,董事會決議股利分派
5,1340,勝悅-KY,107/05/02,17:34:15,董事會決議盈餘轉增資發行新股
6,1340,勝悅-KY,107/05/02,17:35:55,公告本公司提報董事會2018年第一季合併財務報表
7,1340,勝悅-KY,107/05/02,17:38:54,代子公司公告－晉江成昌鞋業有限公司 董事會決議不發放股利
8,1340,勝悅-KY,107/05/02,17:39:18,代子公司公告－世紀勝悅新材料科技有限公司 董事會決議不發放股利
9,1340,勝悅-KY,107/05/09,14:34:51,本公司受邀參加臺灣證券交易所舉辦之『外國上市公司財務業務說明會』
10,1340,勝悅-KY,107/06/12,17:01:26,公告本公司2018年股東會決議事項
11,1340,勝悅-KY,107/08/09,21:45:24,公告本公司提報董事會2018年第二季合併財務報表
12,1340,勝悅-KY,107/08/09,21:51:19,本公司董事會決議107年除權暨除息基準日公告
13,1340,勝悅-KY,107/08/10,10:16:49,更正本公司董事會決議107年除權暨除息基準日公告
14,1340,勝悅-KY,107/11/09,21:34:25,公告本公司提報董事會2018年第三季合併財務報表
15,1340,勝悅-KY,107/11/10,01:21:33,公告本公司因會計師事務所內部調整更換會計師
16,1340,勝悅-KY,107/11/16,15:50:11,107年10月份月資金貸與他人申報作業誤植更正
