,公司代號,公司名稱,發言日期,發言時間,主旨
0,1402,遠東新,106/03/20,13:58:34,"本公司受邀參加由美林證券於2017/3/21-22在台北所舉辦的「2017 Asia Pacific Telecom, Media & Technology Conference」"
1,1402,遠東新,106/03/23,19:13:26,本公司董事會決議發行無擔保普通公司債
2,1402,遠東新,106/03/23,19:15:10,本公司董事會決議出售生產設備予子公司遠東紡纖(越南)有限公司
3,1402,遠東新,106/03/23,19:15:51,代子公司遠東紡纖(越南)有限公司公告董事會決議向 遠東新世紀股份有限公司取得生產設備
4,1402,遠東新,106/03/23,19:16:55,本公司之子公司「遠東資源開發股份有限公司」與醫療財團法人 徐元智先生醫藥基金會，合意解除新北市板橋區亞東段1011號地 號等5筆土地買賣合約。
5,1402,遠東新,106/03/23,19:17:28,本公司董事會決議發放股利內容
6,1402,遠東新,106/03/23,19:18:47,公告本公司董事會決議召開106年度股東常會案
7,1402,遠東新,106/04/20,16:41:14,本公司代子公司遠鼎股份有限公司公告董事會決議現金增資 亞東電子商務股份有限公司股權
8,1402,遠東新,106/04/24,19:06:03,代本公司之子公司(遠通投資股份有限公司)公告 擬以盤後鉅額配對交易方式取得遠東國際商業銀行股份
9,1402,遠東新,106/05/04,17:40:07,本公司之子公司「遠東資源開發股份有限公司」 出售新北市板橋區亞東段土地予新世紀資通股份 有限公司事宜。
10,1402,遠東新,106/05/05,08:33:33,更正5/4本公司之子公司「遠東資源開發(股)公 司」出售新北市板橋區亞東段土地予新世紀資通(股)公司 事宜。
11,1402,遠東新,106/05/08,17:37:58,補充說明本公司於106年03月23日公告發行無擔保普通公司債
12,1402,遠東新,106/05/11,18:13:24,本公司公告董事會決議現金增資亞東石化股份有限公司股權
13,1402,遠東新,106/05/25,17:30:38,本公司受邀參加由台灣證券交易所與高盛證券於2017/6/1-2在新加坡合辦「2017 Taiwan Corporate Day」
14,1402,遠東新,106/06/19,17:25:34,本公司受邀參加由瑞銀證券於2017/6/22-23在台北君悅酒店所舉辦「Taiwan Conference 2017」
15,1402,遠東新,106/06/19,19:31:34,本公司代子公司遠鼎股份有限公司公告董事會決議現金增資 鼎鼎大飯店股份有限公司股權
16,1402,遠東新,106/06/27,19:08:17,代子公司亞東電子商務股份有限公司公告與時間軸科技股份 有限公司合併案
17,1402,遠東新,106/06/28,15:44:21,本公司106年度股東常會重要決議事項內容
18,1402,遠東新,106/06/29,19:31:34,代子公司FAR EASTERN INVESTMENT (H)公告董事會決議 取得MALAYSIA GARMENT MANUFACTURERS (PTE)股權
19,1402,遠東新,106/06/29,19:32:36,代子公司WALDORF SERVICES B.V.公告董事會決議處分MALAYSIA  GARMENT MANUFACTURERS (PTE)股權
20,1402,遠東新,106/07/05,17:42:23,本公司現金股利分派之除息基準日及相關事項公告
21,1402,遠東新,106/08/10,19:59:45,本公司公告董事會決議間接對大陸投資案
22,1402,遠東新,106/08/18,19:57:42,本公司代子公司(遠通投資股份有限公司)公告取得 遠東國際商業銀行股份有限公司 普通股股票
23,1402,遠東新,106/10/13,15:14:09,本公司受邀參加由麥格理證券於2017/10/16在台北南港展覽館所舉辦2017台北紡織展之投資人說明會
24,1402,遠東新,106/11/09,17:41:58,本公司董事會決議通過與高雄富國製衣股份有限公司辦理 股份轉換事宜
25,1402,遠東新,106/12/11,15:18:34,本公司受邀參加由永豐金證券於2017/12/12在台北晶華酒店所舉辦2018年趨勢產業投資論壇之投資人說明會
26,1402,遠東新,106/12/29,14:57:05,補充說明本公司於106年03月23日公告發行無擔保普通公司債
