,公司代號,公司名稱,發言日期,發言時間,主旨
0,1409,新纖,109/01/07,15:29:36,代子公司Thai Shinkong Industry Corporation Ltd. (泰新光工業(股)公司)公告董事會通過擴廠計畫案
1,1409,新纖,109/01/14,16:05:09,代子公司新輝光電(股)公司公告向關係人處分不動產、 其他固定資產及其他資產案，修正不動產交易金額。
2,1409,新纖,109/01/17,17:05:17,本公司董事會決議召開一○九年股東常會相關事宜
3,1409,新纖,109/01/17,17:13:20,公告本公司董事會通過間接赴大陸投資相關資訊
4,1409,新纖,109/01/22,14:44:38,補行公告本公司向關係人取得使用權資產
5,1409,新纖,109/03/24,17:24:41,本公司董事會決議召開一○九年股東常會相關事宜(增列報告、 承認、討論事項)
6,1409,新纖,109/03/24,17:26:26,公告本公司董事會決議股利分派
7,1409,新纖,109/04/16,17:47:49,代子公司MAXIMA PACIFIC LTD公告 資金貸與SSFC INVESTMENT LTD新增貸與 金額達新台幣一仟萬元且達本公司淨值2%以上
8,1409,新纖,109/05/12,15:45:43,本公司擬取得遠信國際資融股份有限公司股權事宜
9,1409,新纖,109/05/28,16:24:46,公告本公司109年股東常會重要決議事項
10,1409,新纖,109/05/28,16:25:51,公告本公司董事及獨立董事當選名單
11,1409,新纖,109/05/28,16:27:35,公告股東會通過解除公司法第209條有關新選任董事及其代 表人競業禁止之限制。
12,1409,新纖,109/05/28,16:28:00,公告本公司董事會決議推選董事長
13,1409,新纖,109/05/28,16:28:22,本公司董事會決議推選副董事長
14,1409,新纖,109/05/28,16:29:00,公告本公司審計委員會委員任期屆滿及新任名單
15,1409,新纖,109/05/28,16:29:29,公告本公司薪酬委員會委員任期屆滿
16,1409,新纖,109/07/07,16:13:33,更正本公司109年1-5月合併營收公告
17,1409,新纖,109/07/20,17:03:10,公告本公司董事會決議委任第四屆薪酬委員會委員
18,1409,新纖,109/07/20,17:03:57,公告董事會決議大陸子公司杭州華春化纖染織有限公司 及新光工業(杭州)有限公司清算事宜
19,1409,新纖,109/08/11,16:32:40,本公司董事會決議配發108年度現金股利之除息基準日
20,1409,新纖,109/08/11,16:35:14,公告本公司認購達輝光電股份有限公司109年度私募 無擔保普通公司債
21,1409,新纖,109/08/11,16:36:06,本公司董事會決議發行有擔保普通公司債
22,1409,新纖,109/08/11,16:36:38,公告本公司董事會決議子公司泛亞聚酯工業(股)公司擬營業讓與 子公司新輝光電(股)公司事宜
23,1409,新纖,109/08/17,14:58:14,公告本公司召開法說會
