,公司代號,公司名稱,發言日期,發言時間,主旨
0,1410,南染,103/03/18,16:17:42,代子公司南岩半導體公告董事會重要決議事項
1,1410,南染,103/03/18,16:19:29,本公司代子公司南岩半導體公告董事會決議發放現金股利
2,1410,南染,103/03/21,16:32:22,公告本公司董事會決議一0三年股東常會召開日期
3,1410,南染,103/03/21,16:40:12,本公司董事會決議發放現金股利
4,1410,南染,103/03/21,16:46:57,本公司董事會決議辦理減資退還股東現金股款
5,1410,南染,103/05/15,15:01:02,本公司研發主管異動
6,1410,南染,103/05/19,15:13:22,代子公司南岩半導體股份有限公司一0三年股東常會重要決議事項
7,1410,南染,103/05/28,12:28:49,代子公司南岩半導體公告董事會決議除息基準日
8,1410,南染,103/06/17,11:23:05,本公司一０三年股東常會重要決議事項
9,1410,南染,103/06/26,13:52:29,公告本公司董事會決議除息基準日
10,1410,南染,103/07/30,17:46:39,本公司訂定現金減資基準日
11,1410,南染,103/08/27,14:31:23,公告本公司現金減資辦理完成變更登記
12,1410,南染,103/09/11,17:37:37,公告本公司董事會決議減資換股基準日暨現金減資換發股票 作業計畫
13,1410,南染,103/11/12,16:25:59,本公司研發主管異動
14,1410,南染,103/12/25,17:22:33,本公司副總經理任用
