,公司代號,公司名稱,發言日期,發言時間,主旨
0,1413,宏洲,106/01/20,19:17:21,公告本公司負責人接獲台北地方法院檢察署起訴書事宜
1,1413,宏洲,106/01/26,14:38:26,公告本公司105年12月份合併自結財務報表 中，高流動性資產及短期借款相關資訊
2,1413,宏洲,106/02/24,08:47:34,公告本公司106年1月份合併自結財務報表 中，高流動性資產及短期借款相關資訊
3,1413,宏洲,106/03/08,16:59:06,本公司董事會決議召開106年股東常會相關事宜
4,1413,宏洲,106/03/08,17:00:15,董事會決議股利分派
5,1413,宏洲,106/03/30,14:13:52,公告本公司106年2月份自結財務報表 中，高流動性資產及短期借款相關資訊
6,1413,宏洲,106/04/28,09:23:22,公告本公司106年3月份自結財務報表 中，高流動性資產及短期借款相關資訊
7,1413,宏洲,106/05/26,10:08:02,公告本公司106年4月份自結財務報表 中，高流動性資產及短期借款相關資訊
8,1413,宏洲,106/06/07,16:57:21,本公司106年股東會重要決議事項
9,1413,宏洲,106/06/27,09:02:36,公告本公司106年5月份自結財務報表 中，高流動性資產及短期借款相關資訊
10,1413,宏洲,106/07/03,14:22:07,澄清財訊快報電子媒體新聞之報導
11,1413,宏洲,106/07/25,11:43:13,補正本公司105年度年報部分資料
12,1413,宏洲,106/07/27,14:01:16,公告本公司106年6月份自結財務報表 中，高流動性資產及短期借款相關資訊
13,1413,宏洲,106/08/28,14:21:46,公告本公司106年7月份自結財務報表 中，高流動性資產及短期借款相關資訊
14,1413,宏洲,106/09/28,09:53:24,公告本公司106年8月份自結財務報表 中，高流動性資產及短期借款相關資訊
15,1413,宏洲,106/10/27,13:46:24,公告本公司106年9月份自結財務報表 中，高流動性資產及短期借款相關資訊
16,1413,宏洲,106/11/02,14:10:17,公告本公司受邀參加福邦證券舉辦之法人說明會
17,1413,宏洲,106/11/29,13:56:14,公告本公司106年10月份自結財務報表 中，高流動性資產及短期借款相關資訊
18,1413,宏洲,106/12/28,13:54:25,公告本公司106年11月份自結財務報表 中，高流動性資產及短期借款相關資訊
