,公司代號,公司名稱,發言日期,發言時間,主旨
0,1414,東和,102/02/27,16:44:10,民國102年股東常會召開日期及召集事由暨股票 停止過戶日期等相關事宜
1,1414,東和,102/02/27,17:03:04,本公司發言人及代理發言人異動
2,1414,東和,102/03/27,16:37:00,公告102/03/27南投地震對本公司財務及業務無重大影響
3,1414,東和,102/04/23,16:48:50,增提本公司102年度股東常會之召集事由
4,1414,東和,102/04/23,17:03:07,董事會決議股利分派
5,1414,東和,102/06/04,12:13:28,本公司102年股東常會決議事項
6,1414,東和,102/06/04,12:14:09,公告本公司102年6月4日股東常會改選監察人案
7,1414,東和,102/06/04,12:18:02,公告本公司102年6月4日股東常會改選董事案
8,1414,東和,102/06/04,17:55:34,公告本公司新任董事解除競業禁止之限制
9,1414,東和,102/06/14,15:55:34,公告本公司現金股利除息基準日事宜
10,1414,東和,102/06/14,15:56:28,本公司第三十四屆第一次董事會一致推舉裕順投資開發 股份有限公司代表人蔡淑櫻女士續任董事長
11,1414,東和,102/06/14,15:57:30,公告聘任本公司第二屆薪資報酬委員會委員
12,1414,東和,102/06/28,09:48:52,本公司財務及會計主管異動事宜。
13,1414,東和,102/09/03,17:08:39,公告本公司第二屆薪資報酬委員會召集人
