,公司代號,公司名稱,發言日期,發言時間,主旨
0,1417,嘉裕,103/03/27,16:31:40,本公司董事會決議召開一○三年股東常會公告
1,1417,嘉裕,103/03/27,16:38:55,董事會決議股利分派
2,1417,嘉裕,103/05/14,11:03:07,"代子公司LI-YUEN GARMENT CO.,LTD.公告越南暴動 對子公司財務及業務並無重大影響"
3,1417,嘉裕,103/06/04,17:53:42,本公司受邀參加凱基證券於103年6月5日舉辦之上市公司法人說明會
4,1417,嘉裕,103/06/20,11:41:42,公告本公司一○三年股東常會重要決議事項
5,1417,嘉裕,103/06/20,15:35:09,公告本公司103年董監事當選名單
6,1417,嘉裕,103/06/20,15:35:31,本公司一○三年股東常會同意解除新任董事競業禁止限制案
7,1417,嘉裕,103/06/20,15:35:51,本公司董事會選舉董事長
8,1417,嘉裕,103/06/20,15:36:25,公告本公司103年配息基準日
9,1417,嘉裕,103/09/09,17:24:53,本公司受邀參加台灣證券交易所於103年9月10日舉辦之上市公司法人說明會
10,1417,嘉裕,103/12/03,16:33:45,本公司受邀參加富邦證券於103年12月4日舉辦之上市公司法人說明會。
11,1417,嘉裕,103/12/15,18:36:10,公告本公司法人董事改派代表人
12,1417,嘉裕,103/12/15,18:44:10,公告本公司董事長異動
13,1417,嘉裕,103/12/15,18:45:00,公告本公司法人監察人改派代表人
14,1417,嘉裕,103/12/15,18:45:56,公告本公司副董事長及總經理異動
15,1417,嘉裕,103/12/15,19:05:17,本公司會計主管變動
