,公司代號,公司名稱,發言日期,發言時間,主旨
0,1436,華友聯,101/03/01,13:46:33,本公司董事會決議召開一○一年股東常會及相關事項
1,1436,華友聯,101/03/19,15:20:54,本公司代理發言人變動。
2,1436,華友聯,101/04/03,16:55:22,本公司董事會決議召開一○一年股東常會及相關事項 (增加議案補充公告)
3,1436,華友聯,101/04/03,16:55:52,董事會決議不配發股利。
4,1436,華友聯,101/04/03,16:56:20,本公司董事會決議辦理現金減資相關事宜。
5,1436,華友聯,101/05/02,17:16:35,替本公司子公司福榮投資股份有限公司公告董事會決議 辦理福榮解散清算事宜。
6,1436,華友聯,101/05/24,14:11:17,本公司101年股東常會重要決議事項。
7,1436,華友聯,101/05/24,14:35:13,公告本公司第十六屆董監全面改選，代表人改派。
8,1436,華友聯,101/05/24,14:39:07,公告本公司股東會決議許可董事從事競業行為之情事。
9,1436,華友聯,101/05/24,14:47:29,董事會決議委任第二屆薪資報酬委員會。
10,1436,華友聯,101/05/24,14:49:52,本公司辦理減資致債權人公告
11,1436,華友聯,101/06/13,14:26:48,公告近日豪雨對本公司業務及財務並無重大影響。
12,1436,華友聯,101/06/15,14:00:56,本公司本公司董事會訂定減資基準日、減資換發股票 基準日暨換股作業計劃書相關事宜。
13,1436,華友聯,101/06/27,08:51:52,公告本公司辦理減資案完成資本變更登記事宜。
14,1436,華友聯,101/08/17,16:27:14,公告本公司處分歐華創投股票之相關資訊
15,1436,華友聯,101/08/17,16:27:48,公告本公司處分福邦證券股票之相關資訊
16,1436,華友聯,101/08/17,16:28:33,公告本公司處分台企銀股票之相關資訊
17,1436,華友聯,101/10/05,10:56:53,公告本公司接獲弘眾投資有限公司、金皇投資有限公司 、陸炤廷、陸炤文、黃翠薰及張晉誠公開收購本公司普通股 股份通知。
18,1436,華友聯,101/10/05,17:33:47,公告本公司董事會決議成立審議委員會。
19,1436,華友聯,101/10/05,17:34:10,本公司對弘眾投資有限公司、金皇投資有限公司、陸炤廷、陸炤文、 黃翠薰及張晉誠公開收購本公司普通股股份之相關事宜說明
20,1436,華友聯,101/10/08,08:28:00,公告10月10日將召開審議委員會議。
21,1436,華友聯,101/10/08,10:22:58,本公司對弘眾投資有限公司、金皇投資有限公司、陸炤廷、陸炤文、 黃翠薰及張晉誠公開收購本公司普通股股份之相關事宜說明(2)
22,1436,華友聯,101/10/09,10:39:26,本公司接獲弘眾投資有限公司、金皇投資有限公司、 陸炤廷、陸炤文、黃翠薰及張晉誠公開收購本公司普通股 已達收購數量、公開收購條件已成就之通知。
23,1436,華友聯,101/10/10,13:21:02,本公司對弘眾投資有限公司、金皇投資有限公司、陸炤廷、陸炤文 、黃翠薰及張晉誠公開收購本公司普通股股份之審議委員會結果。
24,1436,華友聯,101/10/19,15:23:39,公告本公司部份董事代表人改派。
25,1436,華友聯,101/10/19,17:19:12,本公司接獲弘眾投資有限公司、金皇投資有限公司、 陸炤廷、陸炤文、黃翠薰及張晉誠公開收購本公司普通股 之公開收購期間已屆滿通知。
26,1436,華友聯,101/10/23,17:38:02,本公司董事因轉讓持股予公開收購人弘眾投資有限公司 、金皇投資有限公司、陸炤廷、陸炤文、黃翠薰及張晉誠超 過選任時持股的二分之一自然解任。
27,1436,華友聯,101/10/23,17:38:20,本公司監察人因轉讓持股予公開收購人弘眾投資有限公司 、金皇投資有限公司、陸炤廷、陸炤文、黃翠薰及張晉誠超過 選任時持股的二分之一自然解任。
28,1436,華友聯,101/11/02,13:31:36,本公司董事會決議召開一○一年第一次股東臨時會 相關事宜
29,1436,華友聯,101/11/12,11:03:46,修正101年10月合併營業收入累計數。
30,1436,華友聯,101/11/21,13:33:06,本公司董事會決議撤銷11/02董事會所決定召開101年 第1次股東臨時會相關事宜
31,1436,華友聯,101/12/22,17:13:08,本公司董事會決議召開一○二年第一次股東臨時會 相關事宜
32,1436,華友聯,101/12/24,15:52:39,公告本公司董事代表人改派。
33,1436,華友聯,101/12/24,15:53:02,公告本公司董事長變動。
34,1436,華友聯,101/12/24,15:53:27,公告本公司總經理變動。
35,1436,華友聯,101/12/24,15:53:51,本公司發言人變動。
