,公司代號,公司名稱,發言日期,發言時間,主旨
0,1439,中和,100/03/14,11:27:29,此次日本大地震，對本公司財務業務並無重大影響。
1,1439,中和,100/03/23,13:39:23,公告本公司召開一ＯＯ年股東常會相關事宜。
2,1439,中和,100/04/29,13:39:07,董事會通過擬議99年度股利發放事宜。
3,1439,中和,100/05/10,16:18:44,因本公司有價證券於集中交易市場達公佈注意交易資訊標準 ，故公佈相關財務業務等重大訊息，以利投資人區別瞭解。
4,1439,中和,100/06/22,13:48:37,公告本公司一ＯＯ年股東常會重要決議事項
5,1439,中和,100/06/22,13:53:16,公告本公司一ＯＯ年股東常會改選董事、監察人名單
6,1439,中和,100/06/22,13:57:09,公告本公司100年股東常會決議解除董事競業禁止限制案。
7,1439,中和,100/07/01,15:02:12,董事會決議配息基準日事宜
8,1439,中和,100/07/20,15:28:11,修正本公司99年度年報。
9,1439,中和,100/08/29,14:31:53,更正本公司民國100年上半年度及民國99年上半年度損益表 基本每股盈餘金額(誤植為稅前金額)。
10,1439,中和,100/09/08,13:51:16,公告本公司財務主管變動
11,1439,中和,100/09/08,13:54:37,公告本公司發言人變動
12,1439,中和,100/09/08,13:56:54,公告本公司代理發言人變動
13,1439,中和,100/09/30,14:52:51,公告本公司董事辭任
14,1439,中和,100/12/02,14:44:27,公告本公司自民國101年1月1日起，總經理異動。
15,1439,中和,100/12/02,14:51:06,公告本公司董事會決議成立薪酬委員會
