,公司代號,公司名稱,發言日期,發言時間,主旨
0,1440,南紡,102/02/08,15:51:49,更正本公司月營收資訊。
1,1440,南紡,102/03/21,17:03:33,公告本公司102.3.21召開董事會議決議股東會召開日期。
2,1440,南紡,102/03/21,17:04:06,董事會決議增資發行新股。
3,1440,南紡,102/03/21,17:11:13,董事會決議股利分派
4,1440,南紡,102/05/07,18:02:08,"代重要子公司台南紡織(越南)有限公司(Tainan Spinning Co.,Ltd(Vietnam))公告董事會決議盈餘分配。"
5,1440,南紡,102/06/03,13:38:44,6月2日南投地震對本公司財務及業務並無重大影響。
6,1440,南紡,102/06/19,13:49:01,本公司102年股東常會重要決議事項。
7,1440,南紡,102/06/19,13:49:22,本公司102年股東常會改選後董事資料。
8,1440,南紡,102/06/19,13:49:36,本公司102年股東常會改選後監察人資料。
9,1440,南紡,102/06/19,13:49:53,公告本公司102年度股東常會解除董事競業禁止限制。
10,1440,南紡,102/06/19,17:06:07,公告本公司董事會改選董事長及副董事長案。
11,1440,南紡,102/06/20,11:00:16,澄清媒體報導。
12,1440,南紡,102/06/28,17:01:13,公告本公司董事會通過總經理任命案。
13,1440,南紡,102/06/28,17:02:01,本公司董事會核准任命第二屆薪酬委員會委員。
14,1440,南紡,102/06/28,17:02:55,本公司董事會通過解除經理人競業禁止之限制。
15,1440,南紡,102/06/28,17:06:27,本公司發言人變動。
16,1440,南紡,102/06/28,17:06:38,本公司代理發言人變動。
17,1440,南紡,102/06/28,17:18:54,"本公司董事會決議通過，俟商場設施興建完成後， 出租面積約4,740坪空間，作為旅館經營。"
18,1440,南紡,102/07/08,17:15:12,公告本公司除權息基準日事宜。
19,1440,南紡,102/07/09,10:51:45,更正本公司除權息最後過戶日。
20,1440,南紡,102/07/10,10:13:18,澄清媒體報導。
21,1440,南紡,102/08/29,17:14:03,代重要子公司台南紡織(越南)有限公司公告董事會決議 轉投資設立新公司，進行紗廠投資計劃。
22,1440,南紡,102/10/01,10:46:45,澄清媒體報導。
23,1440,南紡,102/10/03,12:02:04,代重要子公司台南紡織(越南)有限公司公告，董事會決議 釋出所持有子公司南方紡織責任有限公司50%股權。
24,1440,南紡,102/10/03,12:04:08,代重要子公司台南紡織(越南)有限公司公告新聞稿 及有關事項。
25,1440,南紡,102/11/08,17:00:49,董事會決議關係人捐贈。
