,公司代號,公司名稱,發言日期,發言時間,主旨
0,1442,名軒,100/03/14,11:21:31,公告日本強震對本公司財務及業務並無重大影響
1,1442,名軒,100/03/23,17:01:06,公告本公司董事會決議召開股東會相關事宜
2,1442,名軒,100/04/26,17:40:42,補充公告本公司董事會決議召開股東會相關事宜
3,1442,名軒,100/04/26,17:41:42,董事會決議發放股利事宜
4,1442,名軒,100/04/26,17:42:43,公告本公司董事會通過盈餘轉增資發行新股
5,1442,名軒,100/04/27,09:41:50,補正4/26本公司董事會決議召開股東會相關事宜公告
6,1442,名軒,100/04/28,14:38:14,說明100年4月28日工商時報B5版有關名軒去年獲利攀高 派利2元之報導
7,1442,名軒,100/05/10,17:05:54,公告99年第四季關係人交易申報數與會計師查核數差異說明
8,1442,名軒,100/06/20,17:14:33,公告本公司董事會決議成立台北分公司
9,1442,名軒,100/06/22,16:11:47,公告本公司100年度股東常會重要決議事項
10,1442,名軒,100/06/28,16:54:51,係因本公司有價證券於集中交易市場達公布注意交易資訊標準，故 公布相關財務業務等重大訊息，以利投資人區別瞭解。
11,1442,名軒,100/07/08,17:39:26,本公司標得機場捷運A7站合宜住宅招商投資興建案-C基地
12,1442,名軒,100/07/21,18:33:31,公告本公司向非關係人購入土地
13,1442,名軒,100/07/25,15:41:56,公告修正本公司九十九年度年報部分資料
14,1442,名軒,100/07/28,16:05:28,公告本公司董事會決議現金股息發放及盈餘轉增資配股基準日
15,1442,名軒,100/08/04,18:04:34,補充公告本公司向非關係人購入土地鑑價資料
16,1442,名軒,100/08/30,17:21:51,公告本公司董事會決議辦理現金增資發行新股
17,1442,名軒,100/09/21,18:31:44,本公司董事會決議現金增資認股基準日等相關事宜
18,1442,名軒,100/09/29,17:00:35,公告本公司現金增資認購價格及修正繳款日等相關事宜
19,1442,名軒,100/10/04,18:19:37,公告本公司100年度現金增資委託代收價款及存儲專戶 銀行合約簽定事宜
20,1442,名軒,100/11/21,17:53:08,公告本公司全體監察人放棄認購股數達得認購股數二分之一 以上，並洽特定人認購事宜
21,1442,名軒,100/11/23,17:10:11,公告本公司現金增資全體監察人放棄認購股數達得認購 股數二分之一以上，並洽特定人認購事宜補充說明
22,1442,名軒,100/11/23,17:12:59,公告本公司標得台中市東區振興段8、19、35地號等三筆土地
23,1442,名軒,100/12/05,15:24:12,公告本公司將於12月6日召開法人說明會
24,1442,名軒,100/12/07,15:23:09,說明100年12月7日自由時報C2版、經濟日報C6版之報導
25,1442,名軒,100/12/21,17:17:17,公告本公司董事會決議成立薪酬委員會及委任薪酬委員
