,公司代號,公司名稱,發言日期,發言時間,主旨
0,1443,立益,104/01/15,10:17:36,公告本公司103年12月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
1,1443,立益,104/02/13,11:31:26,公告本公司104年1月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
2,1443,立益,104/03/17,09:18:27,公告本公司104年2月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
3,1443,立益,104/03/20,14:52:16,公告本公司103年7月30日平鎮廠棉花倉庫發生火災實際受損 金額相關事宜
4,1443,立益,104/03/23,16:28:10,公告本公司董事會決議召開104年股東常會日期及相關事宜
5,1443,立益,104/03/23,17:08:55,董事會決議股利分派
6,1443,立益,104/04/16,16:15:32,公告本公司104年3月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
7,1443,立益,104/05/05,14:42:22,補充公告本公司董事會決議召開104年股東常會日期及相關事宜
8,1443,立益,104/05/19,12:01:57,公告本公司104年4月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
9,1443,立益,104/06/16,11:26:34,公告本公司104年股東常會重要決議事項
10,1443,立益,104/06/16,11:38:12,公告本公司104年股東常會補選1席董事相關事宜
11,1443,立益,104/06/16,14:54:19,公告本公司104年5月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
12,1443,立益,104/07/16,14:07:06,公告本公司104年6月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
13,1443,立益,104/07/17,10:34:23,更正公告本公司104年6月份內部自結合併財務報表中高流 動資產、長短期借款、關係人債權債務款項餘額等相關財 務資訊資料之高流動資產金額。
14,1443,立益,104/07/22,13:55:02,更正本公司103年度年報部份資料
15,1443,立益,104/08/14,10:34:00,公告本公司104年7月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
16,1443,立益,104/09/18,11:07:15,公告本公司104年8月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
17,1443,立益,104/10/19,10:46:25,公告本公司104年9月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
18,1443,立益,104/10/27,14:14:16,修正公告本公司104年9月份衍生性商品部份內容
19,1443,立益,104/11/20,11:44:21,公告本公司104年10月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
20,1443,立益,104/12/23,10:59:51,公告本公司104年11月份內部自結合併財務報表中高流動資 產、長短期借款、關係人債權債務款項餘額等相關財務資 訊資料。
