,公司代號,公司名稱,發言日期,發言時間,主旨
0,1444,力麗,100/01/26,15:36:21,公告本公司會計主管異動。
1,1444,力麗,100/02/10,17:51:44,本公司處分有價證券公告。
2,1444,力麗,100/02/23,12:31:36,澄清媒體報導。
3,1444,力麗,100/03/14,09:44:45,100/03/11日本地震對本公司財務及業務無影響。
4,1444,力麗,100/03/22,14:13:17,公告召開一佰年股東常會事宜。
5,1444,力麗,100/03/22,16:19:11,公告本公司會計主管異動。
6,1444,力麗,100/04/11,11:36:57,澄清媒體報導。
7,1444,力麗,100/04/25,12:01:04,本公司董事會決議股利分派案。
8,1444,力麗,100/04/25,12:01:23,董事會決議盈餘轉增資發行新股。
9,1444,力麗,100/04/25,16:07:45,公告增訂一佰年股東常會召集事由。
10,1444,力麗,100/04/29,17:48:47,本公司依法行使歸入權事宜。
11,1444,力麗,100/05/03,17:48:07,本公司取得有價證券公告
12,1444,力麗,100/06/15,11:25:12,公告一佰年股東常會重要決議事項。
13,1444,力麗,100/07/15,14:24:55,公告一佰年股利配發基準日。
14,1444,力麗,100/07/28,13:36:54,公告本公司會計主管異動。
15,1444,力麗,100/08/11,17:09:18,本公司取得有價證券公告。
16,1444,力麗,100/09/01,13:35:38,公告本公司發言人異動。
17,1444,力麗,100/10/26,14:41:47,公告本公司董事會決議成立薪酬委員會。
18,1444,力麗,100/12/07,16:17:48,本公司取得有價證券公告。
19,1444,力麗,100/12/19,16:25:33,本公司取得有價證券公告
