,公司代號,公司名稱,發言日期,發言時間,主旨
0,1446,宏和,100/02/24,17:11:37,本公司處分不動產公告
1,1446,宏和,100/02/24,17:13:49,"公告本公司認列資產減損金額約新台幣234,000仟元。"
2,1446,宏和,100/03/14,11:38:04,公告100年3月11日日本所發生之地震對本公司無重大影響。
3,1446,宏和,100/03/23,15:59:52,本公司董事會決議召開一百年股東常會公告。
4,1446,宏和,100/03/23,16:01:43,公告本公司董事會決議之股利分派情形。
5,1446,宏和,100/05/19,08:39:32,公告本公司之重要子公司GOLDEN SPIRIT LIMITED股利分派情形。
6,1446,宏和,100/06/21,15:48:58,本公司股東會重要決議事項公告。
7,1446,宏和,100/07/20,15:32:10,補正本公司99年度股東會年報資料。
8,1446,宏和,100/12/21,17:17:57,公告本公司董事會決議成立設置「薪資報酬委員會」， 並選任薪資報酬委員會成員三人。
9,1446,宏和,100/12/21,17:55:57,公告本公司董事會決議自集中交易市場買回公司股份相關資訊
10,1446,宏和,100/12/29,10:46:32,更正100年12月21日有關買回本公司股份之公告(修正買回股份所需 金額上限僅占本公司流動資產之比率)
