,公司代號,公司名稱,發言日期,發言時間,主旨
0,1447,力鵬,105/01/30,15:05:07,發言人變動。
1,1447,力鵬,105/03/18,17:07:09,召開105年股東常會事宜
2,1447,力鵬,105/03/18,17:07:33,公告董事會通過104年度員工及董事酬勞分派情形
3,1447,力鵬,105/04/15,18:21:53,代子公司力寶龍(上海)國際貿易有限公司公告取得理財產品。
4,1447,力鵬,105/04/26,14:30:08,董事會決議不配發股利
5,1447,力鵬,105/05/25,18:08:48,代子公司力寶龍(上海)國際貿易有限公司公告取得理財產品
6,1447,力鵬,105/06/08,16:14:33,公告105年股東常會重要決議事項
7,1447,力鵬,105/08/16,16:55:31,代子公司力寶龍(上海)國際貿易有限公司公告取得理財產品
8,1447,力鵬,105/08/29,15:14:55,代子公司力寶龍(上海)國際貿易有限公司公告處分理財產品
9,1447,力鵬,105/10/18,17:42:14,代子公司力寶龍(上海)國際貿易有限公司公告取得理財產品
10,1447,力鵬,105/10/26,17:39:59,代子公司力寶龍(上海)國際貿易有限公司公告處分理財產品
11,1447,力鵬,105/11/15,18:17:51,代子公司力寶龍(上海)國際貿易有限公司公告取得理財產品
12,1447,力鵬,105/11/24,17:38:19,代子公司力寶龍(上海)國際貿易有限公司公告處分理財產品
