,公司代號,公司名稱,發言日期,發言時間,主旨
0,1454,台富,108/01/04,14:00:24,本公司第九次實施庫藏股執行完畢
1,1454,台富,108/03/12,11:58:02,董事會決議召開108年股東常會
2,1454,台富,108/03/12,11:58:20,董事會決議股利分派
3,1454,台富,108/03/12,16:27:02,本公司董事會決議減資
4,1454,台富,108/04/12,17:44:37,本公司辦理庫藏股註銷完成減資變更登記
5,1454,台富,108/05/08,14:49:20,董事會決議召開108年股東常會(新增報告事項)
6,1454,台富,108/06/20,11:27:56,本公司董事長選任
7,1454,台富,108/06/20,11:28:10,公告本公司108年股東常會重要決議事項
8,1454,台富,108/06/20,11:28:23,公告股東會通過解除新任董事競業禁止之限制案。
9,1454,台富,108/06/28,14:44:10,董事會決議變更配息比率
10,1454,台富,108/06/28,14:44:49,本公司董事會決議現金股利配發基準日
11,1454,台富,108/07/01,10:39:59,公告本公司聘請第四屆薪酬委員會委員
12,1454,台富,108/12/04,13:51:41,本公司受邀參加日盛證券舉辦之法人說明會
