,公司代號,公司名稱,發言日期,發言時間,主旨
0,1456,怡華,100/01/05,11:42:45,本公司負責人訴訟案第一審判決說明
1,1456,怡華,100/01/07,13:58:45,公告本公司一席董事解任
2,1456,怡華,100/01/10,14:15:29,公告本公司99年12月份高流動性資產及短期借款相關財務資訊。
3,1456,怡華,100/02/10,14:49:58,公告本公司100年01月份高流動性資產及短期借款相關財務資訊。
4,1456,怡華,100/02/11,13:53:49,更正本公司100/01本月及本年累計開立發票總金額及 資金貸與他人之對個別對象資金貸與限額及總限額
5,1456,怡華,100/03/09,13:54:10,公告本公司100年02月份高流動性資產及短期借款相關財務資訊。
6,1456,怡華,100/03/14,11:28:12,公告日本強震對本公司財務及業務並無重大影響。
7,1456,怡華,100/03/21,15:55:06,公告本公司股務代理機構：群益證券股份有限公司股務 代理部變更營業處所事宜
8,1456,怡華,100/03/25,14:18:27,公告100年股東常會事項
9,1456,怡華,100/03/25,14:25:54,為配合惠眾聯合會計師事務所調整內部工作
10,1456,怡華,100/04/11,11:11:09,公告本公司100年03月份高流動性資產及短期借款相關財務資訊。
11,1456,怡華,100/04/28,14:36:28,公告董事會決議事項
12,1456,怡華,100/04/28,14:37:04,公告本公司原於100年3月25日董事會通過100年股東常會議程乙案 ，因增加修訂公司章程案，故擬新增100年股東常會議程
13,1456,怡華,100/04/28,16:32:59,更正公告本公司原於100年3月25日董事會通過100年股東常會議程 乙案，因增加修訂公司章程案，故擬新增100年股東常會議程
14,1456,怡華,100/05/09,17:08:56,公告本公司100年04月份高流動性資產及短期借款相關財務資訊。
15,1456,怡華,100/05/10,13:24:02,公告本公司100年04月份高流動性資產及短期借款相關財務資訊。
16,1456,怡華,100/06/10,10:40:35,公告本公司100年05月份高流動性資產及短期借款相關財務資訊。
17,1456,怡華,100/06/27,14:07:00,本公司100年股東常會決議事項
18,1456,怡華,100/06/27,14:07:54,公告本公司自然人董事及法人董事
19,1456,怡華,100/06/27,14:08:39,公告本公司自然人監察人及法人監察人
20,1456,怡華,100/06/27,14:09:23,公告本公司法人董事或監察人之代表人變動
21,1456,怡華,100/06/27,14:10:24,公告本公司100年股東常會決議解除董事競業禁止限制案
22,1456,怡華,100/07/08,11:02:37,公告本公司董事長變動
23,1456,怡華,100/07/11,10:58:28,公告本公司100年06月份高流動性資產及短期借款相關財務資訊。
24,1456,怡華,100/07/19,08:55:33,公告本公司九十九年度年報更正事宜
25,1456,怡華,100/08/10,09:59:54,公告本公司100年07月份高流動性資產及短期借款相關財務資訊。
26,1456,怡華,100/09/09,10:44:43,公告本公司100年08月份高流動性資產及短期借款相關財務資訊。
27,1456,怡華,100/09/09,16:34:13,本公司負責人訴訟案第二審判決說明。
28,1456,怡華,100/10/06,16:31:58,本公司負責人訴訟案第二審判決說明
29,1456,怡華,100/10/11,13:16:30,公告本公司100年09月份高流動性資產及短期借款相關財務資訊。
30,1456,怡華,100/11/10,11:19:51,公告本公司100年10月份高流動性資產及短期借款相關財務資訊。
31,1456,怡華,100/11/24,17:09:10,公告本公司與一銀等5家債權銀行協商結果
32,1456,怡華,100/12/09,13:38:18,公告本公司100年11月份高流動性資產及短期借款相關財務資訊。
33,1456,怡華,100/12/13,17:37:06,更正本公司100年第三季母公司財務報告有關期末持有 有價證券揭露及市場(淨值)金額
34,1456,怡華,100/12/22,08:46:10,公告本公司與彰銀等3家債權銀行協商結果
35,1456,怡華,100/12/27,16:40:42,公告本公司董事會決議成立薪資報酬委員會
