,公司代號,公司名稱,發言日期,發言時間,主旨
0,1459,聯發,101/02/04,15:39:55,本公司稽核主管異動公告
1,1459,聯發,101/02/29,15:09:39,公告本公司董事會決議召開一○一年股東常會相關事宜
2,1459,聯發,101/02/29,15:10:10,公告本公司董事會決議發放股利事宜
3,1459,聯發,101/04/09,18:07:42,更正公告本公司董事會決議召開一○一年股東常會相關事宜
4,1459,聯發,101/04/12,15:05:19,更正本公司101年3月背書保證資訊
5,1459,聯發,101/06/22,17:13:11,公告本公司一○一年股東常會重要決議事項
6,1459,聯發,101/06/22,17:13:25,公告本公司101年6月22日股東常會改選董事監察人
7,1459,聯發,101/06/22,17:13:35,公告本公司薪資報酬委員會委員任期屆滿
8,1459,聯發,101/06/22,17:13:52,公告本公司董事會推選葉清澤先生續任董事長
9,1459,聯發,101/07/02,17:29:21,公告本公司董事會決議除息基準日
10,1459,聯發,101/07/23,17:33:43,公告補正本公司100年度年報部分資料
11,1459,聯發,101/08/24,17:11:36,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 第二款公告
12,1459,聯發,101/08/24,17:11:57,公告本公司董事會決議新任薪酬委員
