,公司代號,公司名稱,發言日期,發言時間,主旨
0,1466,聚隆,100/01/06,14:05:26,古坑雲林土地後續追蹤。
1,1466,聚隆,100/01/12,16:25:39,本公司法人說明會
2,1466,聚隆,100/02/08,16:27:00,本公司董事持股低於當選時持股數二分之一自然解任
3,1466,聚隆,100/03/01,17:38:59,召開一００年股東常會
4,1466,聚隆,100/03/01,17:39:22,本公司第八屆第十五次董事會議重要決議事項。
5,1466,聚隆,100/03/14,14:36:50,公告日本東北地震對本公司財務業務未造成重大影響
6,1466,聚隆,100/03/28,16:59:51,係因本公司有價證券於集中市場有異常交易情形， 故公佈基本資料及相關財務業務等重大訊息，以利投資 人區分瞭解。
7,1466,聚隆,100/04/06,18:52:31,補充公告董事會決議召開100年股東常會相關事宜
8,1466,聚隆,100/04/06,18:52:54,董事會決議股利分配
9,1466,聚隆,100/04/06,18:54:47,本公司董事會決議99年度盈餘轉增資發行新股案。
10,1466,聚隆,100/04/06,18:55:13,本公司第八屆第十六次董事會議重要決議事項。
11,1466,聚隆,100/04/06,18:55:41,董事會決議辦理國內第一次有擔保轉換公司債
12,1466,聚隆,100/04/11,12:03:43,古坑雲林土地後續追蹤。
13,1466,聚隆,100/04/22,19:23:28,公告本公司董事長逝世。
14,1466,聚隆,100/04/22,19:44:29,本公司董事山明投資開發股份有限公司之 法人代表變動。
15,1466,聚隆,100/04/23,16:30:39,本公司第八屆第一次臨時董事會議重要決議事項。
16,1466,聚隆,100/04/23,16:31:01,本公司董事長變動案。
17,1466,聚隆,100/04/28,16:10:42,本公司發行國內第一次有擔保可轉換公司債申報生效特此公告。
18,1466,聚隆,100/04/28,16:11:21,公告本公司發行國內第一次有擔保轉換公司債之委託代收價款 及專戶存儲行庫。
19,1466,聚隆,100/05/18,13:57:36,100年度股東常會重要決議事項
20,1466,聚隆,100/05/31,16:03:42,本公司監察人聚寶盆全球投資有限公司 之法人代表變動案。
21,1466,聚隆,100/06/07,17:24:46,本公司第八屆第十七次董事會議重要決議事項。
22,1466,聚隆,100/06/07,17:25:18,公告本公司董事會決議配股及配息基準日
23,1466,聚隆,100/06/07,18:38:24,本公司投資子公司發展纖維素纖維案。
24,1466,聚隆,100/07/08,10:09:57,古坑雲林土地後續追蹤。
25,1466,聚隆,100/07/14,16:23:17,公告「二水鄉鼻子頭段土地、建築物(廠房」得標案。
26,1466,聚隆,100/08/12,17:07:12,本公司第八屆第十八次董事會議重要決議事項。
27,1466,聚隆,100/08/12,17:07:34,本公司董事會通過經理人解除競業禁止。
28,1466,聚隆,100/08/12,17:08:07,本公司發言人及代理發言人變動公告。
29,1466,聚隆,100/10/07,11:17:10,古坑雲林土地後續追蹤。
30,1466,聚隆,100/10/27,14:59:04,有關大眾傳播媒體報導澄清說明
31,1466,聚隆,100/10/28,16:12:24,本公司第八屆第十九次董事會議重要決議事項。
32,1466,聚隆,100/12/23,15:49:49,本公司第八屆第二十次董事會議重要決議事項。
33,1466,聚隆,100/12/23,15:50:21,本公司董事會決議通過制定薪酬委員會組織規程 及委任薪資報酬委員。
