,公司代號,公司名稱,發言日期,發言時間,主旨
0,1467,南緯,103/01/22,15:53:29,公告本公司董事會決議第一次私募普通股定價相關事宜
1,1467,南緯,103/03/25,15:44:42,公告本公司代理發言人異動
2,1467,南緯,103/03/25,15:44:59,公告本公司會計主管異動
3,1467,南緯,103/03/25,15:45:30,公告本公司董事會決議召開103年股東常會
4,1467,南緯,103/03/25,17:38:09,本公司依公開發行公司資金貸與及背書保證處理準則第二十五 條第一項第三款及第四款規定辦理
5,1467,南緯,103/03/25,17:38:24,本公司依公開發行公司資金貸與及背書保證處理準 則第二十五條第一項
6,1467,南緯,103/04/21,17:59:43,公告本公司私募案件已取得 投審會核准函
7,1467,南緯,103/04/23,17:42:03,公告本公司訂定私募增資基準日等事宜
8,1467,南緯,103/05/12,16:17:17,公告本公司董事會決議修訂103年股東常會議案
9,1467,南緯,103/05/12,16:17:41,董事會決議股利分派
10,1467,南緯,103/05/12,16:26:26,法人董事代表請辭至股東會生效
11,1467,南緯,103/05/12,16:33:10,代子公司公司CAYMAN資金貸與墨西哥產區TRM染整廠
12,1467,南緯,103/05/14,13:17:34,越南暴動對本公司財務業務無重大影響
13,1467,南緯,103/06/27,13:52:19,公告本公司103年股東常會重要決議事項
14,1467,南緯,103/06/27,13:52:36,公告本公司發言人及代理發言人異動
15,1467,南緯,103/06/27,13:52:55,公告本公司103年6月27日股東常會補選二席董事
16,1467,南緯,103/06/27,13:53:17,公告本公司資本公積配發現金股利基準日
17,1467,南緯,103/06/27,14:15:36,公告本公司新增資金貸與金額達新台幣一千萬元以上且 達最近財務報表淨值百分之二以上
18,1467,南緯,103/08/12,16:46:52,公告本公司對單一企業背書保證餘額達新臺幣一千萬元以上 且對其背書保證、長期投資及資金貸與餘額合計數達該公開 發行公司最近期財務報表淨值百分之三十以上者
19,1467,南緯,103/08/12,16:47:16,本公司擬赴衣索比亞投資成衣廠
20,1467,南緯,103/09/23,10:27:52,本公司澄清媒體報導
21,1467,南緯,103/11/10,16:44:54,本公司董事會重要決議事項
22,1467,南緯,103/11/10,16:46:49,代子公司公告合併事宜
23,1467,南緯,103/11/10,16:47:09,新增背書保證金額達新臺幣三千萬元以上且達公司 最近期財務報表淨值百分之五以上者
24,1467,南緯,103/11/11,08:56:04,代子公司公告減資返還股款
25,1467,南緯,103/12/03,17:46:17,公告本公司股務代理機構：日盛證券股 份有限公司股務代理部變更營業處所事宜
26,1467,南緯,103/12/25,15:17:04,本公司董事會重要決議事項
