,公司代號,公司名稱,發言日期,發言時間,主旨
0,1470,大統新創,107/01/09,10:56:28,公告更正本公司106年12月營收公告
1,1470,大統新創,107/03/02,17:44:03,大統精密染整股份有限公司「太陽能電廠示範推廣中心」 開幕剪綵儀式
2,1470,大統新創,107/03/28,18:32:32,公告本公司董事會決議召開一○七年度 第一次股東常會日期及相關事宜
3,1470,大統新創,107/03/28,18:44:52,董事會決議股利分派
4,1470,大統新創,107/05/09,18:18:27,公告本公司董事會決議現金增資子公司統發綠能股份有限公司
5,1470,大統新創,107/06/29,14:51:15,公告本公司一○七年股東常會重要決議事項
6,1470,大統新創,107/07/13,14:11:57,公司本公司名稱由「大統精密染整股份有限公司」 更名為「大統新創股份有限公司」
7,1470,大統新創,107/07/14,07:00:01,公司本公司名稱由「大統精密染整股份有限公司」 更名為「大統新創股份有限公司」
8,1470,大統新創,107/07/15,07:00:02,公司本公司名稱由「大統精密染整股份有限公司」 更名為「大統新創股份有限公司」
9,1470,大統新創,107/07/16,07:00:02,公司本公司名稱由「大統精密染整股份有限公司」 更名為「大統新創股份有限公司」
10,1470,大統新創,107/07/16,16:06:46,公告本公司董事會決議除息基準日相關事宜
11,1470,大統新創,107/07/17,07:00:02,公司本公司名稱由「大統精密染整股份有限公司」 更名為「大統新創股份有限公司」
12,1470,大統新創,107/07/18,07:00:02,公司本公司名稱由「大統精密染整股份有限公司」 更名為「大統新創股份有限公司」
13,1470,大統新創,107/07/18,11:11:59,公告修正本公司106年度年報部份內容
14,1470,大統新創,107/07/19,07:00:01,公司本公司名稱由「大統精密染整股份有限公司」 更名為「大統新創股份有限公司」
15,1470,大統新創,107/07/20,09:04:32,公告本公司簡稱由「大統新」 更正為「大統新創」
16,1470,大統新創,107/08/08,15:31:09,公告本公司董事會決議通過更名 全面換發有價證券相關事宜
17,1470,大統新創,107/08/14,14:11:20,公告本公司更名換票作業計劃書核准
18,1470,大統新創,107/09/14,14:39:08,本公司受邀參加元大證券舉辦之2018年第二季聯合產業座談會
