,公司代號,公司名稱,發言日期,發言時間,主旨
0,1471,首利,105/01/22,14:22:31,本公司背書保證事宜
1,1471,首利,105/01/22,14:22:53,本公司背書保證事宜
2,1471,首利,105/03/24,15:03:08,公告本公司獨立董事辭任事宜
3,1471,首利,105/03/24,15:09:44,公告本公司薪資報酬委員會委員辭任事宜
4,1471,首利,105/03/25,19:03:54,公告本公司董事會決議召開一Ο五年股東常會
5,1471,首利,105/03/25,19:11:44,公告本公司董事會決議辦理私募普通股
6,1471,首利,105/03/25,19:22:12,本公司代子公司Premier Action Trading Limited 百分之百持股之轉投資英屬維京群島商優益貿易有 限公司台灣分公司』辦理清算解散事宜
7,1471,首利,105/03/25,19:30:22,公告本公司董事會決議不分派股利
8,1471,首利,105/03/31,11:49:29,公告本公司股務代理機構「福邦證券股份有限公司」 變更營業處所相關事宜
9,1471,首利,105/05/12,16:13:04,公告本公司董事會決議增列105年股東常會召集事由
10,1471,首利,105/05/12,16:14:02,公告本公司補行委任薪資報酬委員會委員
11,1471,首利,105/06/30,14:13:45,公告本公司105年股東常會重要決議事項
12,1471,首利,105/06/30,14:21:20,公告本公司105年股東常會補選獨立董事
13,1471,首利,105/06/30,14:30:52,公告本公司股東常會通過解除董事競業禁止案
