,公司代號,公司名稱,發言日期,發言時間,主旨
0,1472,三洋紡,105/01/07,15:02:29,公告本公司104年12月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊
1,1472,三洋紡,105/01/07,15:03:05,公告本公司104年12月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊
2,1472,三洋紡,105/02/05,17:09:33,公告本公司105年1月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊
3,1472,三洋紡,105/02/05,17:10:54,公告本公司105年1月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊
4,1472,三洋紡,105/02/16,13:54:04,更正公告本公司處分工廠部份閒置廠區相關事宜
5,1472,三洋紡,105/03/09,15:31:41,公告本公司105年2月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊
6,1472,三洋紡,105/03/09,15:32:02,公告本公司105年2月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊
7,1472,三洋紡,105/03/24,15:51:48,公告本公司董事會決議召開105年度股東常會事宜
8,1472,三洋紡,105/03/24,15:54:36,代子公司裕隆纖維(股)公司公告105年度股東常會召開事宜
9,1472,三洋紡,105/03/24,15:55:08,代子公司裕隆纖維(泰國)股份有限公司 公告105年度股東常會召開事宜
10,1472,三洋紡,105/03/24,15:55:28,代子公司裕隆纖維(股)公司公告董事會決議103年度不分配股利
11,1472,三洋紡,105/03/24,15:58:32,代子公司裕隆纖維(股)公司公告董事會決議104年度不分配股利
12,1472,三洋紡,105/03/24,15:59:39,"代子公司裕隆纖維(泰國)股份有限公司 ﹝Evalon Textile (Thailand) Co., Ltd.﹞ 公告董事會決議104年度不分配股利"
13,1472,三洋紡,105/03/24,16:03:02,董事會決議105年度私募發行普通股案
14,1472,三洋紡,105/03/24,16:12:05,董事會決議不分派股利
15,1472,三洋紡,105/04/06,17:19:42,"代重要子公司Evalon Textile (Thailand) Co., Ltd. 公告增資"
16,1472,三洋紡,105/04/06,17:20:08,更正本公司104年11月及12月、105年1月及2月份 為他人背書保證明細表部份資料金額
17,1472,三洋紡,105/04/08,17:02:02,公告本公司105年3月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊
18,1472,三洋紡,105/04/08,17:02:18,公告本公司105年3月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊
19,1472,三洋紡,105/04/11,14:06:26,代子公司裕隆纖維(泰國)股份有限公司 公告合併
20,1472,三洋紡,105/05/09,16:36:07,公告本公司105年4月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊
21,1472,三洋紡,105/05/09,16:36:22,公告本公司105年4月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊
22,1472,三洋紡,105/05/11,16:42:18,公司董事會決議104年股東常會通過之私募普通股案， 剩餘額度於剩餘期限內不繼續辦理。
23,1472,三洋紡,105/05/11,16:42:38,代子公司裕隆纖維(股)公司補充公告105年度股東常會議案
24,1472,三洋紡,105/05/11,16:43:04,代子公司裕隆纖維公告董事會通過減資彌補虧損
25,1472,三洋紡,105/05/11,16:43:37,公告本公司董事會決議通過對子公司裕隆纖維股份有限公司增資案
26,1472,三洋紡,105/06/07,17:21:24,公告本公司105年5月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊。
27,1472,三洋紡,105/06/07,17:21:58,公告本公司105年5月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊。
28,1472,三洋紡,105/06/23,16:47:53,公告本公司105年股東常會重要決議事項
29,1472,三洋紡,105/06/23,16:49:01,代子公司裕隆纖維公告105年股東常會重要決議事項
30,1472,三洋紡,105/06/23,16:49:58,代子公司泰國裕隆公告105年股東常會重要決議事項
31,1472,三洋紡,105/06/23,16:51:37,代重要子公司裕隆纖維公告董事會決議辦理增資
32,1472,三洋紡,105/06/23,16:52:09,代重要子公司裕隆纖維公告股東會通過減資彌補虧損 董事會通過減資基準日
33,1472,三洋紡,105/07/01,14:32:21,代重要子公司裕隆纖維公告董事會 推舉黃俊銘先生擔任董事長
34,1472,三洋紡,105/07/07,15:46:03,公告本公司105年6月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊。
35,1472,三洋紡,105/07/07,15:46:31,公告本公司105年6月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊。
36,1472,三洋紡,105/07/20,16:21:59,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
37,1472,三洋紡,105/07/27,14:02:19,公告本公司薪酬委員異動
38,1472,三洋紡,105/08/09,14:11:59,公告本公司105年7月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊。
39,1472,三洋紡,105/08/09,14:12:30,公告本公司105年7月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊。
40,1472,三洋紡,105/08/11,14:38:08,"擬將現金增資投資子公司Evalon Textile（Thailand）Co., Ltd. 泰銖85,000仟元之剩餘額度移轉予合併後之新公司"
41,1472,三洋紡,105/08/11,14:39:12,公告本公司董事會決議解除經理人競業禁止限制
42,1472,三洋紡,105/08/11,14:39:44,代子公司三洋紡織纖維(泰國)股份有限公司公告董事會 推舉黃俊銘先生擔任董事長
43,1472,三洋紡,105/08/11,14:40:30,公告本公司薪酬委員異動
44,1472,三洋紡,105/08/11,14:49:30,公告本公司新增背書保證金額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第二款之公告標準
45,1472,三洋紡,105/08/11,15:21:25,代重要子公司裕隆纖維公告董事會決議辦理增資
46,1472,三洋紡,105/09/07,14:39:34,公告本公司105年8月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊。
47,1472,三洋紡,105/09/07,14:40:04,公告本公司105年8月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊。
48,1472,三洋紡,105/10/11,14:05:46,公告本公司105年9月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊。
49,1472,三洋紡,105/10/11,14:06:06,公告本公司105年9月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊。
50,1472,三洋紡,105/11/07,16:10:12,公告本公司105年10月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊。
51,1472,三洋紡,105/11/07,16:10:24,公告本公司105年10月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊。
52,1472,三洋紡,105/12/08,17:17:23,公告本公司105年11月份自結財務報表之高流動資產、短期借款 及一年內到期長期負債等相關財務資訊。
53,1472,三洋紡,105/12/08,17:17:41,公告本公司105年11月份自結合併財務報表之高流動資產、 短期借款及一年內到期長期負債等相關財務資訊。
