,公司代號,公司名稱,發言日期,發言時間,主旨
0,1474,弘裕,104/03/19,19:12:32,公告本公司董事會決議召開104年度股東常會相關事宜
1,1474,弘裕,104/03/19,19:12:50,公告本公司董事會重要決議事項
2,1474,弘裕,104/03/19,19:13:01,董事會決議股利分派
3,1474,弘裕,104/03/19,19:13:12,本公司背書保證達資金貸與及背書保證第25條 第一項第二款及第四款公告
4,1474,弘裕,104/05/12,18:26:15,公告本公司董事會重要決議事項
5,1474,弘裕,104/05/12,18:26:37,公告本公司發言人異動
6,1474,弘裕,104/06/10,17:01:15,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解
7,1474,弘裕,104/06/30,20:08:12,公告本公司104年股東常會重要決議事項
8,1474,弘裕,104/06/30,20:08:24,公告本公司104年度股東常會董事改選當選名單
9,1474,弘裕,104/06/30,20:08:35,公告本公司104年度股東常會獨立董事當選名單
10,1474,弘裕,104/06/30,20:08:45,公告本公司104年度股東常會監察人改選當選名單
11,1474,弘裕,104/06/30,20:08:56,公告本公司104年股東常會決議通過解除董事競業禁止之限制案
12,1474,弘裕,104/06/30,20:09:08,本公司董事會一致推舉葉明洲先生續任董事長
13,1474,弘裕,104/06/30,20:09:21,公告本公司董事會決議委任第三屆薪酬委員會委員
14,1474,弘裕,104/08/11,18:02:00,公告本公司董事會決議除息基準日事宜
15,1474,弘裕,104/08/11,18:02:12,公告本公司董事會重要決議事項
16,1474,弘裕,104/08/17,16:58:05,代子公司HONGYU HOLDINGS L.L.C公告董事會決議不發放股利
17,1474,弘裕,104/08/17,16:58:22,代子公司弘裕紡織(浙江)有限公司公告董事會決議不發放股利
18,1474,弘裕,104/11/07,14:57:52,公告本公司董事會重要決議事項
19,1474,弘裕,104/11/07,14:58:10,公告本公司內部稽核主管異動
20,1474,弘裕,104/12/22,17:19:23,公告子公司資金貸與金額符合公開發行公司資金貸與及背書保證 處理準則第二十二條第一項第三款
