,公司代號,公司名稱,發言日期,發言時間,主旨
0,1503,士電,106/03/09,14:31:06,公告本公司董事會決議105年度員工酬勞及董監事酬勞分派案
1,1503,士電,106/03/09,14:32:07,本公司董事會決議106年股東常會召開事宜
2,1503,士電,106/03/09,16:24:33,董事會決議股利分派
3,1503,士電,106/05/09,14:02:34,本公司受邀參加台灣證券交易所舉辦之上市公司業績說明會
4,1503,士電,106/05/10,13:55:19,公告本公司董事會通過106年第1季財務報表
5,1503,士電,106/06/15,13:48:53,106年股東常會重要決議事項
6,1503,士電,106/06/15,13:49:52,公告本公司股東會決議同意解除新任董事競業之限制
7,1503,士電,106/06/15,13:51:15,公告本公司106年股東常會董事暨獨立董事全面改選當選名單及 董事會選任常務董事、獨立董事、董事長名單
8,1503,士電,106/06/15,13:52:12,公告本公司設置審計委員會
9,1503,士電,106/06/19,17:30:12,公告本公司薪資報酬委員會委員任期屆滿
10,1503,士電,106/07/04,14:06:48,公告本公司除息基準日
11,1503,士電,106/07/06,11:55:49,公告本公司除息基準日
12,1503,士電,106/08/09,14:07:01,公告本公司董事會決議委任第三屆薪資報酬委員會委員
13,1503,士電,106/09/18,14:12:44,代重要子公司英屬維爾京群島商士林電機國際投資股份有限公司 公告董事會決議盈餘分配案由
14,1503,士電,106/11/09,14:13:46,捐贈財團法人許金德紀念基金會新台幣6百萬元
15,1503,士電,106/12/19,14:50:24,代重要子公司英屬維爾京群島商士林電機國際投資股份有限公司 公告董事會決議盈餘分配案由
16,1503,士電,106/12/28,17:25:32,代重要子公司英屬維爾京群島商士林電機國際投資股份有限公司 公告董事會決議盈餘分配案由
