,公司代號,公司名稱,發言日期,發言時間,主旨
0,1506,正道,102/01/31,18:07:03,代子公司公告出售固定資產事宜
1,1506,正道,102/02/19,17:01:22,代子公司公告出售固定資產事宜
2,1506,正道,102/03/13,15:59:28,公告本公司董事會決議增資EXCELLENT GROWTH INVESTMENTSLIMITED轉投資正道汽車配件(福州)有限公司
3,1506,正道,102/03/13,16:00:13,公告本公司董事會決議通過解除董事競業禁止之限制案
4,1506,正道,102/03/13,16:00:47,公告本公司董事會決議通過設置審計委員會
5,1506,正道,102/03/13,16:04:05,公告本公司第21屆董事會第21次會議重要決議事項
6,1506,正道,102/03/13,16:08:03,公告本公司董事會決議102年股東常會召開日期、召集事由、 停止過戶日期及受理股東提案期間
7,1506,正道,102/03/29,10:36:55,公告經會計師查核後之101年度財務報告及合併財務報告 相關資訊。
8,1506,正道,102/04/15,09:56:49,公告本公司董事辭任異動
9,1506,正道,102/04/22,14:57:54,公告本公司第21屆董事會第22次會議重要決議事項
10,1506,正道,102/05/06,15:37:36,公告本公司第21屆董事會第23次會議重要決議事項
11,1506,正道,102/05/14,15:34:08,公告本公司一○二年度第一季經會計師核閱之 合併財務報告相關資訊。
12,1506,正道,102/05/21,14:17:20,更正本公司關係人交易申報公告資訊
13,1506,正道,102/06/06,11:27:57,更正本公司關係人交易申報公告資訊
14,1506,正道,102/06/10,14:22:38,公告本公司一○二年度股東常會重要決議事項
15,1506,正道,102/06/10,14:27:20,公告本公司102年股東常會改選董事名單
16,1506,正道,102/06/10,14:27:34,本公司一○二年股東常會通過解除新任董事及其代表人 競業禁止之限制
17,1506,正道,102/06/10,14:27:50,公告本公司102年股東常會改選獨立董事名單
18,1506,正道,102/06/17,16:42:34,公告本公司第22屆董事會第1次會議重要決議事項
19,1506,正道,102/06/17,16:43:12,公告本公司董事會選任董事長及副董事長
20,1506,正道,102/06/17,16:43:24,公告本公司薪資報酬委員會委員異動
21,1506,正道,102/06/17,16:43:34,公告本公司董事會決議設置審計委員會
22,1506,正道,102/07/18,15:47:53,更正本公司股東會年報部份頁次
23,1506,正道,102/08/05,16:12:29,公告本公司第22屆董事會第2次會議重要決議事項
24,1506,正道,102/08/05,16:14:25,公告本公司副董事長兼任總經理
25,1506,正道,102/08/05,16:14:49,公告子公司正道汽車配件(福州)有限公司聘任總經理
26,1506,正道,102/08/05,16:15:20,公告子公司正道工業(馬來西亞)私人有限公司聘任總經理
27,1506,正道,102/08/05,16:21:02,本公司背書保證達背書保證處理準則第25條第4款之規定公告
28,1506,正道,102/08/12,17:45:57,公告本公司一○二年度第二季經會計師核閱之 合併財務報告相關資訊。
29,1506,正道,102/10/24,16:11:14,更正本公司8月份衍生性商品交易資訊
30,1506,正道,102/11/04,16:55:23,公告本公司第22屆董事會第3次會議重要決議事項
31,1506,正道,102/11/04,16:56:21,公告本公司內部稽核主管異動
32,1506,正道,102/11/04,16:56:42,本公司與張興華間因台南市海安路BOT案，衍生債務人異議之訴， 最高法院駁回上訴之影響。
33,1506,正道,102/11/13,13:29:08,公告本公司一○二年度第三季經會計師核閱之 合併財務報告相關資訊。
34,1506,正道,102/12/05,17:13:03,公告本公司董事解任異動
35,1506,正道,102/12/06,17:17:35,公告本公司第22屆第4次董事會會議重要決議事項
36,1506,正道,102/12/06,17:20:07,公告本公司董事會決議103年股東臨時會召開日期、召開地點、 召集事由、停止過戶日期
37,1506,正道,102/12/25,16:02:16,公告本公司第22屆第5次董事會會議重要決議事項
