,公司代號,公司名稱,發言日期,發言時間,主旨
0,1521,大億,105/03/18,18:42:48,董事會決議股利分派
1,1521,大億,105/03/18,18:46:13,董事會決議股東會召開日期、召集事由、停止過戶日期及受理 股東提案期間
2,1521,大億,105/03/18,18:49:57,本公司法人董事日商株式會社小糸製作所改派法人董事代表人。
3,1521,大億,105/03/18,18:51:44,公告本公司董事會通過104年度員工酬勞分派情形
4,1521,大億,105/05/10,11:57:50,公告本公司提報董事會之民國105年第一季合併財務報告
5,1521,大億,105/06/13,15:02:06,公告105年6月13日召開股東常會之重要決議事項
6,1521,大億,105/06/13,15:04:07,公告本公司股東會決議解除公司法第209條有關董事 競業禁止之限制
7,1521,大億,105/06/13,15:19:17,董事會決議股利配發基準日
8,1521,大億,105/06/14,11:11:29,澄清媒體報導事宜
9,1521,大億,105/08/02,17:14:10,公告本公司提報董事會之民國105年第二季合併財務報告
10,1521,大億,105/11/10,11:43:38,公告本公司提報董事會之民國105年第三季合併財務報告
