,公司代號,公司名稱,發言日期,發言時間,主旨
0,1524,耿鼎,100/03/14,11:07:03,日本東北地震對本公司財務及業務並無重大影響
1,1524,耿鼎,100/03/24,08:31:49,公告召開本公司一百年股東常會事宜
2,1524,耿鼎,100/03/24,08:50:46,公告本公司董事會決議不分配股利
3,1524,耿鼎,100/03/29,09:43:39,公告本公司變更股務代理機構事宜
4,1524,耿鼎,100/05/19,15:17:24,本公司公告98年度財務報表更正
5,1524,耿鼎,100/06/15,14:49:18,耿鼎企業(股)公司100年股東常會重要決議事項
6,1524,耿鼎,100/07/01,14:40:22,變更本公司內部稽核主管
7,1524,耿鼎,100/07/21,11:03:11,公告補正本公司99年度年報
8,1524,耿鼎,100/08/25,16:44:50,新任本公司內部稽核主管
9,1524,耿鼎,100/09/05,11:10:41,更正本公司100年4-7月累計營業收入淨額公告資料
10,1524,耿鼎,100/10/19,15:39:02,董事會決議發行國內第三次有擔保轉換公司債
11,1524,耿鼎,100/10/31,11:29:24,耿鼎企業100年第三季合併財報更正說明
12,1524,耿鼎,100/11/30,14:12:52,公告本公司國內第三次有擔保轉換公司債存儲專戶行庫 及代收股款行庫
13,1524,耿鼎,100/12/28,15:57:25,公告本公司董事會決議成立薪酬委員會
14,1524,耿鼎,100/12/29,15:01:48,公告本公司發行國內第三次有擔保轉換公司債募集完成
