,公司代號,公司名稱,發言日期,發言時間,主旨
0,1525,江申,108/03/21,13:45:39,2018年盈餘分配議案
1,1525,江申,108/03/21,14:57:23,公告本公司董事會決議通過107年度董監及員工酬勞分派案
2,1525,江申,108/03/21,14:57:55,公告本公司董事會決議召開108年度股東常會日期及相關事宜
3,1525,江申,108/04/01,08:37:44,公告本公司法人董事改派代表人
4,1525,江申,108/05/02,15:01:32,公告本公司設置公司治理主管
5,1525,江申,108/05/14,13:42:25,公告本公司將於5月22日召開法人說明會
6,1525,江申,108/06/18,13:06:20,公告本公司108年度6月18日股東常會重要決議事項
7,1525,江申,108/06/18,13:06:45,公告本公司108年度股東常會董事及監察人選舉結果
8,1525,江申,108/06/18,13:07:09,本公司108年股東常會通過解除公司法第二○九條有關董事 競業禁止之限制案
9,1525,江申,108/07/04,15:26:48,董事會決議現金股利分派基準日
10,1525,江申,108/07/04,15:28:24,本公司董事會決議委任第四屆薪資報酬委員會委員
11,1525,江申,108/07/04,15:29:27,本公司董事會選舉董事長
12,1525,江申,108/11/13,14:01:01,公告本公司將於11月20日召開法人說明會
13,1525,江申,108/12/12,14:06:28,公告本公司內部稽核主管異動
14,1525,江申,108/12/31,10:08:31,公告本公司法人董事改派代表人
