,公司代號,公司名稱,發言日期,發言時間,主旨
0,1526,日馳,102/02/19,18:22:19,補充說明102年1月份營收與去年同期差異甚大原因， 俾利投資人了解
1,1526,日馳,102/03/27,15:17:08,公告102/03/27地震對本公司財務業務並無影響
2,1526,日馳,102/03/28,14:24:10,公告本公司董事會決議召開102年股東常會
3,1526,日馳,102/03/28,14:40:40,董事會決議股利分派
4,1526,日馳,102/06/17,14:22:50,公告本公司102年股東常會重要決議事項
5,1526,日馳,102/07/16,15:01:41,公告更正本公司101年年報部份資料
6,1526,日馳,102/07/29,16:00:01,公告本公司薪資報酬委員會委員異動
7,1526,日馳,102/08/08,14:29:01,公告補行委任一席薪酬委員
8,1526,日馳,102/08/14,15:18:26,更正本公司102年7月份衍生性商品交易資訊
9,1526,日馳,102/11/08,15:20:45,公告本公司薪資報酬委員會委員異動
10,1526,日馳,102/11/08,15:55:18,修正-公告本公司薪資報酬委員會委員異動
