,公司代號,公司名稱,發言日期,發言時間,主旨
0,1527,鑽全,108/03/25,15:01:58,董事會決議召開108年股東常會
1,1527,鑽全,108/03/25,15:18:36,董事會決議股利分派
2,1527,鑽全,108/03/25,15:22:25,董事會決議員工酬勞轉增資發行新股
3,1527,鑽全,108/04/18,18:50:27,公告108/04/18地震對本公司財務業務並無影響
4,1527,鑽全,108/05/13,13:26:02,更正本公司107年度個別財務報告之附註揭露
5,1527,鑽全,108/06/27,15:16:11,公告本公司108年股東常會重要決議事項
6,1527,鑽全,108/07/24,14:53:15,公告修正本公司107年度股東會年報部分內容
7,1527,鑽全,108/08/08,15:55:49,公告本公司108年除息基準日
8,1527,鑽全,108/09/16,09:26:04,公告本公司員工酬勞轉增資基準日
9,1527,鑽全,108/10/16,19:13:37,公告處分UBS 4.875%債券
10,1527,鑽全,108/10/30,19:12:36,公告處分T 7.125 02/15/23 美國公債
11,1527,鑽全,108/10/31,18:52:55,公告處分UBS Float 08/15/23 Corp債券
12,1527,鑽全,108/10/31,19:05:08,公告處分T 7.125 02/15/23 Govt 美國公債
13,1527,鑽全,108/10/31,19:13:57,公告處分T 7.625 11/15/22 Govt 美國公債
14,1527,鑽全,108/11/01,18:11:32,公告處分T 7.125 02/15/23 Govt 美國公債
15,1527,鑽全,108/11/04,17:28:55,公告處分T 7.125 02/15/23 Govt 美國公債
16,1527,鑽全,108/11/28,13:45:12,公告本公司受邀參加統一證券舉辦之法人說明會
