,公司代號,公司名稱,發言日期,發言時間,主旨
0,1528,恩德,106/03/28,15:51:19,公告董事會決議股東會召開日期等事宜
1,1528,恩德,106/03/28,15:53:04,公告本公司新增資金貸與金額達新臺幣一千萬元以上且達 本公司最近期財務報表淨值百分之二以上者(總格精密)
2,1528,恩德,106/03/28,15:53:26,公告本公司新增資金貸與金額達新臺幣一千萬元以上且達 本公司最近期財務報表淨值百分之二以上者 (Anderson Europe GmbH)
3,1528,恩德,106/03/28,15:53:46,公告本公司新增背書保證金額達新臺幣三千萬元以上且達 本公司最近期財務報表淨值百分之五以上者
4,1528,恩德,106/03/31,14:40:49,董事會決議股利分派
5,1528,恩德,106/04/07,17:07:39,公告本公司新增資金貸與金額達新臺幣一千萬元以上且達 本公司最近期財務報表淨值百分之二以上者
6,1528,恩德,106/05/04,17:21:08,公告董事會決議調整股東會議程
7,1528,恩德,106/06/19,16:09:47,公告本公司106年股東會因任期屆滿全面改選 第10屆董事、獨立董事及監察人
8,1528,恩德,106/06/19,16:10:22,公告本公司第二屆薪資報酬委員會任期屆滿
9,1528,恩德,106/06/19,16:10:42,公告本公司董事會推選事欣科技股份有限公司代表人： 廖文嘉先生接任董事長
10,1528,恩德,106/06/19,16:11:02,本公司106年股東會重要決議
11,1528,恩德,106/06/19,16:11:22,公告本公司解除新選任董事(含獨立董事)及其代表人 競業禁止之限制
12,1528,恩德,106/07/25,17:58:49,公告本公司董事會決議配息基準日
13,1528,恩德,106/07/25,17:59:15,公告本公司選任第三屆薪酬委員會
14,1528,恩德,106/07/26,15:29:59,公告修正本公司105年度年報部份資料
15,1528,恩德,106/08/01,14:02:15,公告本公司歐美區營運總經理異動
16,1528,恩德,106/08/15,08:50:56,代重要子公司育德實業股份有限公司公告總經理異動
17,1528,恩德,106/11/08,16:23:56,公告本公司受邀參加元大證券舉辦之法人說明會
18,1528,恩德,106/11/09,15:17:05,公告子公司仲德實業(上海)有限公司， 新增資金貸與金額達公告標準。
19,1528,恩德,106/11/16,10:15:05,澄清媒體報導
20,1528,恩德,106/12/08,17:45:17,公告董事會決議變更本公司營業地址
21,1528,恩德,106/12/08,17:45:34,公告董事會決議修訂「104年第10次庫藏股轉讓辦法」
