,公司代號,公司名稱,發言日期,發言時間,主旨
0,1530,亞崴,106/01/06,16:37:54,依公開發行公司資金貸與及背書保證處理準則第二十二條第一項 第三款規定公告
1,1530,亞崴,106/01/19,10:40:28,澄清1/19工商時報B4報導
2,1530,亞崴,106/02/06,10:17:02,澄清2/6工商時報B4報導
3,1530,亞崴,106/02/23,14:11:26,"代子公司B-Way(Cayman)Co.,Ltd公告董事會決議不分派股利"
4,1530,亞崴,106/03/03,16:27:29,公告董事會通過本公司一○五年度第四季合併財務報表
5,1530,亞崴,106/03/03,16:28:37,董事會決議股利分派
6,1530,亞崴,106/03/03,16:29:31,本公司董事會通過106年股東會召集事宜
7,1530,亞崴,106/03/03,16:31:42,公告本公司董事會通過105年度員工及董監酬勞金額及發放方式
8,1530,亞崴,106/03/15,16:10:21,本公司受邀參加宏遠證券舉辦之「2017年物聯自動化產業投資論壇」
9,1530,亞崴,106/03/27,14:16:58,更正本公司105年度財報電子書、IFRSs財務報表部分內容 及內部控制制度聲明書日期
10,1530,亞崴,106/03/31,16:01:44,"公告本公司國內第二次無擔保轉換公司債 (證券代號:15302,亞崴二)賣回權行使作業事宜"
11,1530,亞崴,106/05/03,17:05:47,公告董事會通過本公司一○六年度第一季合併財務報表
12,1530,亞崴,106/06/14,21:27:52,公告本公司106年股東常會重要決議事項
13,1530,亞崴,106/06/14,21:28:47,公告本公司106年股東常會改選董事(含獨立董事)及監察人
14,1530,亞崴,106/06/14,21:29:22,公告本公司106年股東常會決議通過解除新任董事及其代表 人競業行為限制
15,1530,亞崴,106/06/14,21:29:54,公告本公司董事會選任董事長
16,1530,亞崴,106/06/14,21:30:26,公告本公司董事會通過解除總經理競業行為限制
17,1530,亞崴,106/06/14,21:31:00,公告本公司董事會通過重新委任薪資報酬委員
18,1530,亞崴,106/07/05,15:04:23,公告本公司除息基準日及國內第二次無擔保轉換公司債 停止轉換期間相關事宜
19,1530,亞崴,106/07/18,16:20:44,公告本公司106年現金股利配息率
20,1530,亞崴,106/08/02,10:38:26,澄清8/2工商時報B4報導
21,1530,亞崴,106/08/08,15:00:19,公告董事會通過本公司一○六年度第二季合併財務報表
22,1530,亞崴,106/08/16,14:01:08,更正本公司106年第二季財報電子書及IFRSs財務報表
23,1530,亞崴,106/08/30,15:05:37,本公司受邀參加富邦證券舉辦之法人說明會
24,1530,亞崴,106/09/13,16:27:11,本公司有價證券於集中交易市場達公佈注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解
25,1530,亞崴,106/11/08,17:51:19,公告董事會通過本公司一○六年度第三季合併財務報表
