,公司代號,公司名稱,發言日期,發言時間,主旨
0,1532,勤美,109/01/02,14:45:17,本公司代重要子公司勤威(天津)工業有限公司公告董事會 決議股利配發基準日
1,1532,勤美,109/01/29,14:35:58,公告武漢肺炎疫情對本公司營運尚無重大影響
2,1532,勤美,109/03/09,15:56:54,本公司受邀參加法人說明會資訊
3,1532,勤美,109/03/23,19:04:37,補充公告本公司於108度代重要子公司璞真建設股份有限公司 公告對關係人之捐贈事宜
4,1532,勤美,109/03/23,19:05:37,本公司代重要子公司璞真建設股份有限公司公告董事會 決議發放股利
5,1532,勤美,109/03/23,19:06:41,本公司代重要子公司璞真建設股份有限公司公告董事會 決議召開股東常會
6,1532,勤美,109/03/26,18:40:13,本公司代重要子公司China Metal International Holdings Inc.公告董事會決議發放股利
7,1532,勤美,109/03/26,18:40:42,本公司代重要子公司China Metal International Holdings Inc.公告董事會決議股利配發基準日及除息交易日等相關日期
8,1532,勤美,109/03/26,18:40:58,本公司代重要子公司China Metal International Holdings Inc. 公告董事會決議召開股東常會
9,1532,勤美,109/03/30,18:09:15,公告本公司董事會決議召開股東常會相關事宜
10,1532,勤美,109/03/30,18:09:31,公告本公司董事會決議股利分派
11,1532,勤美,109/04/13,11:12:48,澄清媒體報導
12,1532,勤美,109/04/27,16:37:13,代本公司之重要子公司UNITED ELITE AGENTS LIMITED公告 董事會決議發放股利
13,1532,勤美,109/05/07,15:50:19,代本公司之重要子公司UNITED ELITE AGENTS LIMITED公告董事會 決議股利配發基準日
14,1532,勤美,109/05/12,14:43:03,公告本公司董事會決議修正108年度股利分派
15,1532,勤美,109/05/12,18:04:19,本公司代重要子公司璞真建設股份有限公司公告董事會 決議股利配發基準日
16,1532,勤美,109/05/12,18:04:35,本公司代重要子公司璞真建設股份有限公司公告109年 股東常會重要決議事項
17,1532,勤美,109/05/12,18:04:50,公告本公司董事會決議買回庫藏股事宜
18,1532,勤美,109/06/16,15:57:47,本公司受邀參加法人說明會資訊
19,1532,勤美,109/06/22,18:20:42,公告本公司109年股東常會重要決議事項
20,1532,勤美,109/06/22,18:21:04,公告本公司董事會選任董事長
21,1532,勤美,109/06/22,18:21:25,公告本公司法人董事之代表人變動
22,1532,勤美,109/06/22,18:22:37,公告本公司審計委員會及薪資報酬委員會成員異動
23,1532,勤美,109/06/22,18:23:10,公告本公司股東常會改選董事案
24,1532,勤美,109/06/22,18:23:38,公告本公司109年股東常會通過解除董事競業禁止案
25,1532,勤美,109/06/23,18:00:42,公告本公司買回庫藏股數量累積達公司已發行股份總數百分之二
26,1532,勤美,109/06/24,18:42:34,本公司代重要子公司China Metal International Holdings Inc.公告董事會決議發放股利
27,1532,勤美,109/06/24,18:43:25,本公司代重要子公司China Metal International Holdings Inc.公告董事會決議股利配發基準日及除息交易日等相關日期
28,1532,勤美,109/06/24,18:43:51,本公司代重要子公司China Metal International Holdings Inc.公告主席異動
29,1532,勤美,109/06/24,18:44:50,本公司代重要子公司China Metal International Holdings Inc.公告董事異動
30,1532,勤美,109/06/29,16:18:37,代本公司之重要子公司UNITED ELITE AGENTS LIMITED 公告董事會決議發放股利
31,1532,勤美,109/06/29,16:18:56,代本公司之重要子公司UNITED ELITE AGENTS LIMITED 公告董事會決議股利配發基準日
32,1532,勤美,109/07/10,17:53:22,"本公司代重要子公司CMB (H.K.) Co., Ltd.公告董事異動"
33,1532,勤美,109/07/10,17:53:39,"本公司代重要子公司CMB (H.K.) Co., Ltd.公告主席異動"
34,1532,勤美,109/07/10,17:53:54,本公司代重要子公司蘇州勤堡精密機械有限公司公告董事異動
35,1532,勤美,109/07/10,17:54:07,本公司代重要子公司China Metal International (BVI) Limited公告董事異動
36,1532,勤美,109/07/10,17:54:19,本公司代重要子公司China Metal International (BVI) Limited公告主席異動
