,公司代號,公司名稱,發言日期,發言時間,主旨
0,1533,車王電,102/01/25,16:42:22,董事會決議召開102年股東常會公告
1,1533,車王電,102/02/23,16:39:54,更正公告：更正本公司101年10月26日新增資金貸與金額 達新台幣壹仟萬元以上且達公司最近期財務報表淨 值百分之二以上者
2,1533,車王電,102/03/26,15:42:33,董事會決議召開102年股東常會新增議案公告
3,1533,車王電,102/03/26,15:43:24,依「公開發行公司資金貸與及背書保證處理準則」第二十五條公告
4,1533,車王電,102/03/26,15:43:57,董事會決議股利分派
5,1533,車王電,102/03/27,15:38:09,公告102/03/27地震對本公司財務及業務並無影響。
6,1533,車王電,102/05/21,12:00:56,公告本公司股務代理機構合併事宜
7,1533,車王電,102/06/04,16:10:59,本公司1-4月資金貸與資料誤值更正公告
8,1533,車王電,102/06/10,16:43:36,本公司102年股東常會重要決議事項
9,1533,車王電,102/07/18,16:57:36,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公佈相關財務業務等重大訊息，以利投資人區別瞭解。
10,1533,車王電,102/08/09,16:42:28,公告本公司董事會決議訂定除息基準日。
11,1533,車王電,102/08/09,16:42:54,依「公開發行公司資金貸與及背書保證處理準則」第二十五 條公告
12,1533,車王電,102/09/24,16:49:14,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公佈相關財務業務等重大訊息，以利投資人區別瞭解。
13,1533,車王電,102/11/18,17:30:28,車王電子新台幣10億元聯貸案今與彰銀為主之銀行團完成簽約
